file,mapped_reads
COPE_0699.fp2.repr.2.1-RAW.bam,33436976
COPE_0700.fp2.repr.2.1-RAW.bam,7815968
COPE_0701.fp2.repr.2.1-RAW.bam,1344233
COPE_0702.fp2.repr.2.1-RAW.bam,10959908
COPE_0703.fp2.repr.2.1-RAW.bam,3640392
COPE_0705.fp2.repr.2.1-RAW.bam,24664012
COPE_0706.fp2.repr.2.1-RAW.bam,4728798
COPE_0708.fp2.repr.2.1-RAW.bam,13644763
COPE_0709.fp2.repr.2.1-RAW.bam,13570186
COPE_0710.fp2.repr.2.1-RAW.bam,65957
COPE_0712.fp2.repr.2.1-RAW.bam,8311913
COPE_0713.fp2.repr.2.1-RAW.bam,7445173
COPE_0715.fp2.repr.2.1-RAW.bam,736598
COPE_0716.fp2.repr.2.1-RAW.bam,8386003
COPE_0717.fp2.repr.2.1-RAW.bam,6283156
COPE_0722.fp2.repr.2.1-RAW.bam,6918096
COPE_0725.fp2.repr.2.1-RAW.bam,9500492
COPE_0726.fp2.repr.2.1-RAW.bam,10540343
COPE_0727.fp2.repr.2.1-RAW.bam,1042769
COPE_0728.fp2.repr.2.1-RAW.bam,1173418
COPE_0729.fp2.repr.2.1-RAW.bam,4656130
COPE_0730.fp2.repr.2.1-RAW.bam,3293389
COPE_0731.fp2.repr.2.1-RAW.bam,2844558
COPE_0732.fp2.repr.2.1-RAW.bam,4933971
COPE_0734.fp2.repr.2.1-RAW.bam,10010971
COPE_0735.fp2.repr.2.1-RAW.bam,29535558
COPE_0736.fp2.repr.2.1-RAW.bam,312351
COPE_0737.fp2.repr.2.1-RAW.bam,3574690
COPE_0738.fp2.repr.2.1-RAW.bam,7949701
COPE_0739.fp2.repr.2.1-RAW.bam,7522574
COPE_0740.fp2.repr.2.1-RAW.bam,931675
COPE_0741.fp2.repr.2.1-RAW.bam,5085499
COPE_0742.fp2.repr.2.1-RAW.bam,4223692
COPE_0743.fp2.repr.2.1-RAW.bam,2740143
COPE_0744.fp2.repr.2.1-RAW.bam,21013386
COPE_0746.fp2.repr.2.1-RAW.bam,8541166
COPE_0747.fp2.repr.2.1-RAW.bam,467117
COPE_0748.fp2.repr.2.1-RAW.bam,12021493
COPE_0749.fp2.repr.2.1-RAW.bam,17514847
COPE_0750.fp2.repr.2.1-RAW.bam,4193559
COPE_0751.fp2.repr.2.1-RAW.bam,1830153
COPE_0752.fp2.repr.2.1-RAW.bam,6943838
COPE_0753.fp2.repr.2.1-RAW.bam,7254198
COPE_0754.fp2.repr.2.1-RAW.bam,11382229
COPE_0755.fp2.repr.2.1-RAW.bam,19764291
COPE_0756.fp2.repr.2.1-RAW.bam,6647198
COPE_0757.fp2.repr.2.1-RAW.bam,3913272
COPE_0758.fp2.repr.2.1-RAW.bam,11958334
COPE_0759.fp2.repr.2.1-RAW.bam,5741292
COPE_0760.fp2.repr.2.1-RAW.bam,1194430
COPE_0761.fp2.repr.2.1-RAW.bam,565052
COPE_0762.fp2.repr.2.1-RAW.bam,5145787
COPE_0764.fp2.repr.2.1-RAW.bam,1085649
COPE_0765.fp2.repr.2.1-RAW.bam,13519457
COPE_0766.fp2.repr.2.1-RAW.bam,3605182
COPE_0767.fp2.repr.2.1-RAW.bam,5755207
COPE_0768.fp2.repr.2.1-RAW.bam,6711758
COPE_0769.fp2.repr.2.1-RAW.bam,4232602
COPE_0770.fp2.repr.2.1-RAW.bam,6373418
COPE_0771.fp2.repr.2.1-RAW.bam,4870956
COPE_0772.fp2.repr.2.1-RAW.bam,20398475
COPE_0773.fp2.repr.2.1-RAW.bam,5727084
COPE_0774.fp2.repr.2.1-RAW.bam,342945
COPE_0775.fp2.repr.2.1-RAW.bam,3680606
COPE_0778.fp2.repr.2.1-RAW.bam,4730063
COPE_0779.fp2.repr.2.1-RAW.bam,47490
COPE_0781.fp2.repr.2.1-RAW.bam,658030
COPE_0782.fp2.repr.2.1-RAW.bam,30870507
