ID,Cluster1,Cluster2,admix_assignment
COPE_0829.fp2.repr,1e-5,0.99999,Cluster2
COPE_0830.fp2.repr,1e-5,0.99999,Cluster2
COPE_0831.fp2.repr,1e-5,0.99999,Cluster2
COPE_0832.fp2.repr,1e-5,0.99999,Cluster2
COPE_0833.fp2.repr,1e-5,0.99999,Cluster2
COPE_0834.fp2.repr,1e-5,0.99999,Cluster2
COPE_0835.fp2.repr,1e-5,0.99999,Cluster2
COPE_0836.fp2.repr,0.99999,1e-5,Cluster1
COPE_0837.fp2.repr,1e-5,0.99999,Cluster2
COPE_0838.fp2.repr,1e-5,0.99999,Cluster2
COPE_0839.fp2.repr,1e-5,0.99999,Cluster2
COPE_0840.fp2.repr,0.004491,0.995509,Cluster2
COPE_0841.fp2.repr,1e-5,0.99999,Cluster2
COPE_0842.fp2.repr,0.99999,1e-5,Cluster1
COPE_0843.fp2.repr,0.99999,1e-5,Cluster1
COPE_0845.fp2.repr,1e-5,0.99999,Cluster2
COPE_0846.fp2.repr,1e-5,0.99999,Cluster2
COPE_0847.fp2.repr,0.011123,0.988877,Cluster2
COPE_0848.fp2.repr,0.004028,0.995972,Cluster2
COPE_0849.fp2.repr,1e-5,0.99999,Cluster2
COPE_0850.fp2.repr,0.99999,1e-5,Cluster1
COPE_0851.fp2.repr,1e-5,0.99999,Cluster2
COPE_0852.fp2.repr,1e-5,0.99999,Cluster2
COPE_0853.fp2.repr,1e-5,0.99999,Cluster2
COPE_0854.fp2.repr,0.009612,0.990388,Cluster2
COPE_0855.fp2.repr,1e-5,0.99999,Cluster2
COPE_0856.fp2.repr,0.984787,0.015213,Cluster1
COPE_0857.fp2.repr,1e-5,0.99999,Cluster2
COPE_0858.fp2.repr,1e-5,0.99999,Cluster2
COPE_0859.fp2.repr,0.99999,1e-5,Cluster1
COPE_0860.fp2.repr,0.99999,1e-5,Cluster1
COPE_0861.fp2.repr,0.005169,0.994831,Cluster2
COPE_0862.fp2.repr,1e-5,0.99999,Cluster2
COPE_0863.fp2.repr,1e-5,0.99999,Cluster2
COPE_0864.fp2.repr,0.98272,0.01728,Cluster1
COPE_0865.fp2.repr,1e-5,0.99999,Cluster2
COPE_0866.fp2.repr,1e-5,0.99999,Cluster2
COPE_0867.fp2.repr,1e-5,0.99999,Cluster2
