Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0601.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0602.fp2.repr,z1,0,1,0,0,0,0
COPE_0603.fp2.repr,z1,0,0.999987,0,0,0,1.3000000000000001e-5
COPE_0604.fp2.repr,z1,0,0.999892,0,1.0000000000000002e-6,0,1.07e-4
COPE_0605.fp2.repr,NA,0,0.999875,0,0,0,1.25e-4
COPE_0606.fp2.repr,NA,0.999942,0,0,0,5.8e-5,0
COPE_0607.fp2.repr,z1,0,1,0,0,0,0
COPE_0608.fp2.repr,z1,0,1,0,0,0,0
COPE_0610.fp2.repr,z1,0,1,0,0,0,0
COPE_0611.fp2.repr,z1,0,1,0,0,0,0
COPE_0612.fp2.repr,z1,0,1,0,0,0,0
COPE_0613.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0614.fp2.repr,z0,0.999927,0,0,0,7.3e-5,0
COPE_0615.fp2.repr,NA,0.999823,0,0,0,1.77e-4,0
COPE_0616.fp2.repr,z0,0.999994,0,0,0,6e-6,0
COPE_0617.fp2.repr,NA,0.8549425648276945,0,0,0.1047883143649431,0.04026912080736242,0
COPE_0618.fp2.repr,NA,0.9035040964959036,0,0,0.0011609988390011612,0.09533490466509534,0
COPE_0619.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0620.fp2.repr,NA,0.999666,0,0,0,3.34e-4,0
COPE_0621.fp2.repr,z0,0.999994,0,0,0,6e-6,0
COPE_0622.fp2.repr,z0,0.999989,0,0,0,1.1000000000000001e-5,0
COPE_0623.fp2.repr,z0,0.999539,0,0,4.4999999999999996e-5,4.16e-4,0
COPE_0624.fp2.repr,z0,0.999998,0,0,0,2.0000000000000008e-6,0
COPE_0625.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0626.fp2.repr,z0,0.999996,0,0,0,4.000000000000001e-6,0
COPE_0627.fp2.repr,NA,0,0.992862992862993,0,6.55000655000655e-4,0,0.006482006482006482
COPE_0628.fp2.repr,z1,0.1401011401011401,0.8455678455678456,0.002217002217002217,0.003916003916003916,0.0022830022830022828,0.005915005915005915
COPE_0629.fp2.repr,z1,0,0.9999790000000001,0,0,0,2.1000000000000002e-5
COPE_0630.fp2.repr,NA,0,0.999995,0,0,0,5e-6
COPE_0631.fp2.repr,z1,0,0.999942,0,0,0,5.8e-5
COPE_0632.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0633.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0634.fp2.repr,NA,0,1,0,0,0,0
COPE_0635.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0636.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0637.fp2.repr,NA,0,1,0,0,0,0
COPE_0638.fp2.repr,NA,0.999989,0,0,0,1.1000000000000001e-5,0
COPE_0639.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0640.fp2.repr,NA,0,0.999981,0,0,0,1.9e-5
COPE_0641.fp2.repr,z1,2.0999979000021004e-5,0.9983420016579984,5.5999944000056e-5,2.9299970700029306e-4,1.8999981000019e-5,0.001268998731001269
COPE_0642.fp2.repr,NA,0.999989,0,0,0,1.1000000000000001e-5,0
COPE_0643.fp2.repr,z0,0.999998,0,0,0,2.0000000000000003e-6,0
COPE_0644.fp2.repr,NA,0.997336,0,0,0,0.002664,0
COPE_0645.fp2.repr,z1,0,0.99999,0,0,0,1e-5
COPE_0646.fp2.repr,z1,0,0.999928,0,2.0000000000000003e-6,0,7.000000000000001e-5
COPE_0647.fp2.repr,z1,0,1,0,0,0,0
COPE_0648.fp2.repr,NA,0,0.999953,0,0,0,4.7e-5
COPE_0649.fp2.repr,z0,0.999856,0,0,0,1.44e-4,0
COPE_0650.fp2.repr,NA,0,0.998642,0,0,0,0.001358
COPE_0651.fp2.repr,z1,0,0.999994,0,0,0,6e-6
COPE_0652.fp2.repr,z1,0,1,0,0,0,0
COPE_0653.fp2.repr,NA,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0654.fp2.repr,z0,1,0,0,0,0,0
COPE_0655.fp2.repr,z0,1,0,0,0,0,0
COPE_0656.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0657.fp2.repr,NA,0,0.99996,0,0,0,3.9999999999999996e-05
COPE_0658.fp2.repr,z0,0.999793,0,0,4e-6,2.03e-4,0
COPE_0659.fp2.repr,NA,0,0.9928320071679929,0,5.999994000006001e-6,0,0.007161992838007162
COPE_0660.fp2.repr,NA,0,0.999955,0,0,0,4.5e-5
COPE_0661.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0662.fp2.repr,z0,0.999994,0,0,0,6e-6,0
COPE_0663.fp2.repr,NA,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0664.fp2.repr,NA,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0665.fp2.repr,z1,0,0.999973,0,0,0,2.7e-5
COPE_0666.fp2.repr,NA,0,0.9984459984459984,0,3.3000033000032996e-4,0,0.001224001224001224
COPE_0667.fp2.repr,z0,0.99998,0,0,0,2e-5,0
COPE_0668.fp2.repr,z0,0.999995,0,0,0,5e-6,0
COPE_0669.fp2.repr,NA,0.997505,0,0,0,0.002495,0
COPE_0670.fp2.repr,NA,0,0.999853,0,0,0,1.4700000000000002e-4
COPE_0671.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0672.fp2.repr,z1,0,1,0,0,0,0
COPE_0673.fp2.repr,NA,0,0.992845,0,0.004123,0,0.003032
COPE_0674.fp2.repr,NA,0,0.999958,0,0,0,4.2000000000000004e-5
COPE_0675.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0676.fp2.repr,NA,0,0,0.8926818926818927,0.06346006346006347,0.0015760015760015761,0.042282042282042284
COPE_0677.fp2.repr,NA,0,0.999986,0,0,0,1.4000000000000001e-5
COPE_0678.fp2.repr,z1,0,1,0,0,0,0
COPE_0679.fp2.repr,z1,0,0.9995169995169995,0,2.9000029000029002e-5,0,4.5400045400045407e-4
COPE_0680.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0681.fp2.repr,z1,0,1,0,0,0,0
COPE_0682.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0683.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0684.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0685.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0686.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0687.fp2.repr,NA,0,0.940091,0,9e-6,0,0.0599
COPE_0688.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0690.fp2.repr,NA,0.999737,0,0,0,2.63e-4,0
COPE_0692.fp2.repr,z0,0.999922,0,0,0,7.8e-5,0
COPE_0693.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0694.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0695.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0696.fp2.repr,z1,0,1,0,0,0,0
COPE_0697.fp2.repr,NA,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0698.fp2.repr,z1,0.009348018696037392,0.9870789741579483,3.1700063400126805e-4,6.9000138000276e-4,2.77000554001108e-4,0.0022890045780091565
COPE_0699.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0700.fp2.repr,z1,0,1,0,0,0,0
COPE_0701.fp2.repr,z1,0,0.999847,0,1.0000000000000002e-6,0,1.52e-4
COPE_0702.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0703.fp2.repr,z1,0,0.999938,0,0,0,6.2e-5
COPE_0704.fp2.repr,z0,0.999996,0,0,0,4e-6,0
COPE_0705.fp2.repr,z1,0,1,0,0,0,0
COPE_0706.fp2.repr,z1,0,0.999871,0,6e-6,0,1.23e-4
COPE_0707.fp2.repr,NA,0.7270867270867272,0.17266517266517267,0.002867002867002867,0.04648804648804649,0.04780804780804781,0.003085003085003085
COPE_0708.fp2.repr,z1,0,1,0,0,0,0
COPE_0709.fp2.repr,z1,0,1,0,0,0,0
COPE_0710.fp2.repr,z1,0,0.9998549998549999,0,2.0000020000020002e-6,0,1.43000143000143e-4
COPE_0711.fp2.repr,z0,0.999979,0,0,0,2.1e-5,0
COPE_0712.fp2.repr,z1,0,0.999963,0,0,0,3.7000000000000005e-5
COPE_0713.fp2.repr,NA,0,0.999989,0,0,0,1.1e-5
COPE_0715.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0716.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
