Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0806.fp2.repr,NA,0,0.7407012592987408,0,0.006764993235006765,0,0.2525337474662525
COPE_0807.fp2.repr,z1,0,0.999667,0,1.7e-5,0,3.16e-4
COPE_0808.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0809.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0810.fp2.repr,z1,0,0.99999,0,0,0,9.999999999999999e-6
COPE_0811.fp2.repr,z1,9.999990000010003e-7,0.998867001132999,2.9999970000030004e-6,7.499992500007501e-5,9.999990000010003e-7,0.001052998947001053
COPE_0812.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0813.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0814.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0815.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0816.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0817.fp2.repr,z1,0.001807998192001808,0.9938550061449939,1.7299982700017303e-4,5.279994720005281e-4,9.2999907000093e-5,0.0035429964570035436
COPE_0818.fp2.repr,z1,0,1,0,0,0,0
COPE_0819.fp2.repr,z1,0,1,0,0,0,0
COPE_0820.fp2.repr,z1,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0821.fp2.repr,NA,0,0,0.9729639188917567,0.0011420034260102782,4.000012000036001e-6,0.025890077670233012
COPE_0822.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0823.fp2.repr,z1,0,0.999994,0,0,0,6e-6
COPE_0824.fp2.repr,NA,0,0.19561719561719562,4.21000421000421e-4,0.0014290014290014288,0,0.8025328025328025
COPE_0825.fp2.repr,NA,0,0.999237,0,8.000000000000001e-6,0,7.55e-4
COPE_0826.fp2.repr,z1,0,1,0,0,0,0
COPE_0827.fp2.repr,z1,0,0.99937399749599,0,1.4000056000224001e-5,0,6.120024480097921e-4
COPE_0828.fp2.repr,NA,0,0.16340916340916342,1.0000010000010001e-6,0.0018320018320018322,0,0.8347578347578347
COPE_0829.fp2.repr,z1,0,0.999986,0,0,0,1.3999999999999998e-5
COPE_0830.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0831.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0832.fp2.repr,z1,0,0.999733,0,1e-5,0,2.57e-4
COPE_0833.fp2.repr,z1,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0834.fp2.repr,z1,0,0.9999289999289999,0,0,0,7.1000071000071e-5
COPE_0835.fp2.repr,z1,0.09670000000000001,0.895691,0.0010969999999999999,0.001341,0.001935,0.003236
COPE_0836.fp2.repr,z0,0.999998,0,0,0,2.0000000000000008e-6,0
COPE_0837.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0838.fp2.repr,z1,0,0.999898,0,1.0000000000000002e-6,0,1.01e-4
COPE_0839.fp2.repr,z1,0.023487976512023487,0.9675600324399677,0.001235998764001236,0.00128999871000129,0.001042998957001043,0.005382994617005383
COPE_0840.fp2.repr,NA,0,0.99997,0,0,0,3e-5
COPE_0841.fp2.repr,z1,0,0.999984,0,0,0,1.6e-5
COPE_0842.fp2.repr,z0,0.99999,0,0,0,1e-5,0
COPE_0843.fp2.repr,z0,1,0,0,0,0,0
COPE_0845.fp2.repr,z1,0,0.999989,0,0,0,1.1e-5
COPE_0846.fp2.repr,z1,0,0.999959,0,0,0,4.1e-5
COPE_0847.fp2.repr,NA,0,0.999933,0,0,0,6.7e-5
COPE_0848.fp2.repr,NA,0,0.999961,0,0,0,3.9e-5
COPE_0849.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0850.fp2.repr,z0,0.999934,0,0,0,6.6e-5,0
COPE_0851.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0852.fp2.repr,z1,0,0.999983,0,0,0,1.7e-5
COPE_0853.fp2.repr,z1,0,0.999969,0,0,0,3.0999999999999995e-5
COPE_0854.fp2.repr,NA,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0855.fp2.repr,z1,7.140028560114241e-4,0.9952159808639235,8.000032000128001e-5,0.00133000532002128,1.3700054800219201e-4,0.0025230100920403684
COPE_0856.fp2.repr,NA,0.999946,0,0,0,5.4000000000000005e-5,0
COPE_0857.fp2.repr,z1,0,0.9996049996049996,0,2.0000020000020002e-6,0,3.93000393000393e-4
COPE_0858.fp2.repr,z1,0.0032270129080516326,0.9895869583478334,8.02003208012832e-4,0.001209004836019344,4.610018440073761e-4,0.0047140188560754245
COPE_0859.fp2.repr,z0,0.99996,0,0,0,4e-5,0
COPE_0860.fp2.repr,z0,0.9999209999209999,0,0,0,7.900007900007899e-5,0
COPE_0861.fp2.repr,NA,0,0.999987,0,0,0,1.3e-5
COPE_0862.fp2.repr,z1,0,0.999992,0,0,0,8e-6
COPE_0863.fp2.repr,z1,0,0.999969,0,0,0,3.1e-5
COPE_0864.fp2.repr,NA,0.9975780000000001,0,0,0,0.002422,0
COPE_0865.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0866.fp2.repr,z1,0,1,0,0,0,0
COPE_0867.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0868.fp2.repr,z1,0,1,0,0,0,0
COPE_0869.fp2.repr,z0,0.9978179978179978,0,0,1.0000010000010002e-5,0.0021720021720021718,0
COPE_0870.fp2.repr,NA,0,0.999996,0,0,0,4.000000000000001e-6
COPE_0871.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0872.fp2.repr,z1,0,1,0,0,0,0
COPE_0873.fp2.repr,z1,8.000016000032e-5,0.9985609971219943,1.500003000006e-5,2.24000448000896e-4,1.6000032000064005e-5,0.001104002208004416
COPE_0874.fp2.repr,NA,0,0.9985370014629984,0,1.1999988000011998e-5,0,0.0014509985490014509
COPE_0875.fp2.repr,NA,0,0.999592,0,0,0,4.08e-4
COPE_0876.fp2.repr,z1,0,1,0,0,0,0
COPE_0877.fp2.repr,z1,0,1,0,0,0,0
COPE_0878.fp2.repr,z1,0,0.999965,0,0,0,3.5e-5
COPE_0879.fp2.repr,z1,0,0.999995,0,0,0,5e-6
