prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0474.fp2.repr,z1,b_bx,6e-5,1e-5,0,2e-5,0,0,0,2e-5,1e-5,0,1.2e-5,1.8737959096740263e-5,1.5614965913950218
uniform,COPE_0474.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,pure_b,0.99999,0.99997,0.99997,0.99998,1,1,1,1,0.99996,0.99999,0.999986,1.5055453054186844e-5,1.5055663833480513e-5
uniform,COPE_0474.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0474.fp2.repr,z1,b_bx,1e-5,3e-5,3e-5,2e-5,0,0,0,0,4e-5,1e-5,1.4000000000000001e-5,1.5055453054181621e-5,1.0753895038701158
Jeffreys,COPE_0475.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,pure_b,0.99998,0.99943,0.99999,0.40619,0.99858,0.99999,0.99999,1,0.9724,0.99975,0.9376300000000001,0.18692669733822875,0.1993608324586764
Jeffreys,COPE_0475.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,F2,0,0,0,3.7e-4,0,0,0,0,1e-5,1e-5,3.9e-5,1.1637582795981876e-4,2.9839955887133014
Jeffreys,COPE_0475.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0475.fp2.repr,NA,b_bx,2e-5,5.7e-4,1e-5,0.59344,0.00142,1e-5,1e-5,0,0.02759,2.4e-4,0.062331,0.18681039279024184,2.997070362905165
uniform,COPE_0475.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0475.fp2.repr,NA,pure_b,1,0.99999,1,0.99997,1,1,0.99999,0.98912,0.99994,1,0.998901,0.003436747331740037,0.0034405284725313487
uniform,COPE_0475.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0475.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0475.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0475.fp2.repr,NA,b_bx,0,1e-5,0,3e-5,0,0,1e-5,0.01088,6e-5,0,0.0010990000000000002,0.0034367473317400313,3.1271586276069434
Jeffreys,COPE_0476.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,0.99997,1,0.999997,9.486832980497072e-6,9.486861441081395e-6
Jeffreys,COPE_0476.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0476.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,3e-5,0,3e-6,9.486832980505138e-6,3.162277660168379
uniform,COPE_0476.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0476.fp2.repr,z1,pure_b,1,1,0.99999,1,1,1,0.99989,1,1,1,0.999988,3.4576806613057294e-5,3.457722153971577e-5
uniform,COPE_0476.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0476.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0476.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0476.fp2.repr,z1,b_bx,0,0,1e-5,0,0,0,1.1e-4,0,0,0,1.2e-5,3.457680661303984e-5,2.881400551086653
Jeffreys,COPE_0477.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,pure_b,1,0.99999,1,1,0.99999,1,1,1,1,1,0.999998,4.2163702135386505e-6,4.216378646295943e-6
Jeffreys,COPE_0477.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0477.fp2.repr,z1,b_bx,0,1e-5,0,0,1e-5,0,0,0,0,0,2.0000000000000003e-6,4.216370213557839e-6,2.1081851067789192
uniform,COPE_0477.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0477.fp2.repr,z1,pure_b,1,0.99999,1,1,1,1,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
uniform,COPE_0477.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0477.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0477.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0477.fp2.repr,z1,b_bx,0,1e-5,0,0,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
