n.pca,success
34,0.9615384615384616
34,1
34,1
34,1
34,1
34,0.9615384615384616
34,1
34,1
34,1
34,1
35,1
35,1
35,0.9615384615384616
35,1
35,1
35,1
35,1
35,1
35,1
35,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
38,1
38,1
38,0.9615384615384616
38,1
38,1
38,1
38,1
38,0.9615384615384616
38,1
38,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,0.9615384615384616
39,0.9615384615384616
39,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
41,1
41,1
41,0.9615384615384616
41,0.9615384615384616
41,1
41,1
41,1
41,1
41,0.9615384615384616
41,1
42,1
42,1
42,0.9615384615384616
42,0.9615384615384616
42,1
42,1
42,0.9615384615384616
42,0.9615384615384616
42,1
42,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
44,1
44,1
44,0.9615384615384616
44,1
44,1
44,1
44,1
44,1
44,1
44,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
47,1
47,1
47,0.9615384615384616
47,1
47,1
47,1
47,1
47,1
47,1
47,1
48,1
48,0.9615384615384616
48,1
48,1
48,1
48,1
48,1
48,0.9615384615384616
48,1
48,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
50,1
50,0.9923076923076923
50,0.9615384615384616
50,0.9615384615384616
50,0.9615384615384616
50,1
50,1
50,1
50,1
50,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
52,1
52,1
52,1
52,1
52,1
52,0.9538461538461539
52,1
52,1
52,1
52,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
54,1
54,1
54,1
54,1
54,0.9615384615384616
54,1
54,1
54,1
54,1
54,1
55,0.9615384615384616
55,1
55,1
55,0.9615384615384616
55,1
55,1
55,1
55,0.9923076923076923
55,0.9615384615384616
55,1
56,0.9923076923076923
56,1
56,1
56,0.9615384615384616
56,1
56,1
56,0.9615384615384616
56,1
56,1
56,0.9615384615384616
57,1
57,1
57,1
57,1
57,1
57,1
57,0.9615384615384616
57,0.9923076923076923
57,0.9615384615384616
57,1
58,1
58,1
58,1
58,1
58,1
58,1
58,0.9615384615384616
58,1
58,1
58,1
59,1
59,0.9923076923076923
59,0.9615384615384616
59,1
59,1
59,1
59,1
59,1
59,1
59,1
60,0.9615384615384616
60,1
60,1
60,1
60,1
60,0.9538461538461539
60,1
60,0.9923076923076923
60,1
60,1
61,1
61,1
61,0.9615384615384616
61,1
61,1
61,1
61,0.9615384615384616
61,1
61,1
61,1
62,1
62,1
62,1
62,1
62,1
62,0.9615384615384616
62,1
62,1
62,0.9615384615384616
62,1
63,0.9923076923076923
63,0.9538461538461539
63,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
64,0.9615384615384616
64,1
64,0.9615384615384616
64,0.9615384615384616
64,0.9615384615384616
64,1
64,1
64,1
64,0.9615384615384616
64,1
65,1
65,0.9923076923076923
65,1
65,1
65,1
65,0.9615384615384616
65,0.9923076923076923
65,1
65,1
65,1
66,0.9615384615384616
66,1
66,1
66,1
66,1
66,0.9923076923076923
66,0.9923076923076923
66,0.9615384615384616
66,1
66,1
67,1
67,1
67,0.9923076923076923
67,0.9615384615384616
67,1
67,1
67,1
67,1
67,1
67,1
68,0.9615384615384616
68,0.9615384615384616
68,1
68,0.9615384615384616
68,0.9923076923076923
68,1
68,0.9615384615384616
68,1
68,1
68,1
69,1
69,1
69,1
69,1
69,1
69,1
69,1
