n.pca,success
27,0.9923076923076923
27,1
27,0.9615384615384616
27,0.9923076923076923
27,1
27,1
27,1
27,0.9615384615384616
27,0.9615384615384616
27,0.9615384615384616
28,0.9615384615384616
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,0.9615384615384616
28,1
29,1
29,1
29,1
29,0.9923076923076923
29,1
29,1
29,1
29,1
29,0.9615384615384616
29,1
30,1
30,1
30,1
30,1
30,0.9923076923076923
30,1
30,1
30,0.9923076923076923
30,1
30,0.9230769230769231
31,0.9615384615384616
31,1
31,1
31,1
31,1
31,0.9923076923076923
31,1
31,0.9615384615384616
31,0.9230769230769231
31,0.9923076923076923
32,1
32,1
32,1
32,0.9923076923076923
32,1
32,1
32,0.9615384615384616
32,1
32,0.9923076923076923
32,0.9615384615384616
33,1
33,0.9230769230769231
33,0.9615384615384616
33,1
33,1
33,1
33,1
33,1
33,1
33,0.9615384615384616
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,0.9923076923076923
34,1
35,1
35,0.9615384615384616
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,0.9615384615384616
36,1
36,0.9615384615384616
36,0.9923076923076923
36,0.9615384615384616
36,0.9923076923076923
36,1
36,0.9615384615384616
36,1
36,0.9615384615384616
36,1
37,0.9615384615384616
37,1
37,0.9538461538461539
37,1
37,1
37,0.9538461538461539
37,1
37,1
37,0.9923076923076923
37,1
38,0.9923076923076923
38,0.9923076923076923
38,0.9923076923076923
38,0.9615384615384616
38,1
38,1
38,1
38,1
38,0.9615384615384616
38,1
39,1
39,0.9615384615384616
39,1
39,0.9615384615384616
39,0.9615384615384616
39,0.9615384615384616
39,0.9615384615384616
39,1
39,1
39,1
40,1
40,1
40,1
40,0.9923076923076923
40,1
40,0.9538461538461539
40,0.9615384615384616
40,0.9615384615384616
40,0.9923076923076923
40,1
41,1
41,1
41,0.9923076923076923
41,0.9538461538461539
41,1
41,0.9615384615384616
41,0.9615384615384616
41,1
41,0.9923076923076923
41,0.9923076923076923
42,0.9615384615384616
42,1
42,1
42,1
42,1
42,1
42,1
42,0.9615384615384616
42,1
42,0.9615384615384616
43,0.9923076923076923
43,1
43,1
43,0.9923076923076923
43,1
43,1
43,1
43,0.9923076923076923
43,0.9230769230769231
43,0.9923076923076923
44,1
44,0.9615384615384616
44,1
44,0.9923076923076923
44,1
44,1
44,1
44,0.9230769230769231
44,0.9923076923076923
44,0.9615384615384616
45,1
45,0.9615384615384616
45,1
45,1
45,0.9615384615384616
45,0.9923076923076923
45,0.9538461538461539
45,1
45,0.9923076923076923
45,1
46,0.9923076923076923
46,0.9538461538461539
46,0.9923076923076923
46,1
46,1
46,1
46,0.9538461538461539
46,0.9923076923076923
46,1
46,0.9615384615384616
47,0.9538461538461539
47,0.9923076923076923
47,1
47,1
47,1
47,0.9230769230769231
47,0.9230769230769231
47,0.9615384615384616
47,1
47,1
48,1
48,0.9615384615384616
48,1
48,0.9153846153846155
48,1
48,1
48,1
48,1
48,1
48,1
49,0.9615384615384616
49,1
49,0.9615384615384616
49,1
49,0.9923076923076923
49,0.9230769230769231
49,1
49,0.9923076923076923
49,0.9538461538461539
49,1
50,0.9615384615384616
50,0.9615384615384616
50,0.9538461538461539
50,1
50,0.9923076923076923
50,1
50,0.9923076923076923
50,0.9923076923076923
50,1
50,1
51,0.9538461538461539
51,1
51,1
51,0.9538461538461539
51,0.9923076923076923
51,1
51,0.8846153846153846
51,0.9615384615384616
51,1
51,1
52,1
52,1
52,1
52,0.9615384615384616
52,0.9538461538461539
52,1
52,0.9615384615384616
52,0.9538461538461539
52,1
52,0.9230769230769231
53,0.9615384615384616
53,0.9615384615384616
53,0.9615384615384616
53,0.9538461538461539
53,1
53,0.9615384615384616
53,0.9615384615384616
53,0.9923076923076923
53,0.9615384615384616
53,1
54,0.9615384615384616
54,1
54,1
54,0.9615384615384616
54,1
54,1
54,1
54,1
54,0.9615384615384616
54,0.9230769230769231
55,1
55,0.9615384615384616
55,1
55,1
55,0.9230769230769231
55,1
55,1
55,1
55,0.9846153846153847
55,1
56,1
56,1
56,1
56,0.9615384615384616
56,0.9923076923076923
56,1
56,0.9615384615384616
56,1
56,1
56,1
57,0.9615384615384616
57,0.9923076923076923
57,1
57,1
57,1
57,0.9923076923076923
57,1
57,1
57,1
57,1
58,0.9923076923076923
58,1
58,0.9615384615384616
58,1
58,0.9615384615384616
58,1
58,0.9615384615384616
58,0.9538461538461539
58,1
58,0.9923076923076923
59,1
59,1
59,1
59,1
59,0.9923076923076923
59,0.9923076923076923
59,1
59,0.9923076923076923
59,1
59,1
60,1
60,0.9615384615384616
60,0.9615384615384616
