file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0493.r1.fq.gz,COPE-0493,1820193
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0494.r1.fq.gz,COPE-0494,1844663
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0495.r1.fq.gz,COPE-0495,2618222
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0496.r1.fq.gz,COPE-0496,366151
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0497.r1.fq.gz,COPE-0497,1045319
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0498.r1.fq.gz,COPE-0498,5367594
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0499.r1.fq.gz,COPE-0499,15196884
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0500.r1.fq.gz,COPE-0500,653935
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0501.r1.fq.gz,COPE-0501,782203
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0502.r1.fq.gz,COPE-0502,23619
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0503.r1.fq.gz,COPE-0503,837919
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0504.r1.fq.gz,COPE-0504,2344068
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0505.r1.fq.gz,COPE-0505,2551774
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0506.r1.fq.gz,COPE-0506,972962
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0507.r1.fq.gz,COPE-0507,2703751
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0508.r1.fq.gz,COPE-0508,5324298
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0509.r1.fq.gz,COPE-0509,520130
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0510.r1.fq.gz,COPE-0510,3257540
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0511.r1.fq.gz,COPE-0511,1416102
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0512.r1.fq.gz,COPE-0512,1809208
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0513.r1.fq.gz,COPE-0513,3734
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0514.r1.fq.gz,COPE-0514,3461475
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0515.r1.fq.gz,COPE-0515,1433530
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0516.r1.fq.gz,COPE-0516,582
