file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0486.F.fq.gz,COPE-0486,967478
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0487.F.fq.gz,COPE-0487,779018
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0488.F.fq.gz,COPE-0488,1999762
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0489.F.fq.gz,COPE-0489,144211
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0490.F.fq.gz,COPE-0490,44770
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0491.F.fq.gz,COPE-0491,2758934
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0492.F.fq.gz,COPE-0492,1563992
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0493.F.fq.gz,COPE-0493,1844670
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0494.F.fq.gz,COPE-0494,1868186
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0495.F.fq.gz,COPE-0495,2651988
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0496.F.fq.gz,COPE-0496,370354
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0497.F.fq.gz,COPE-0497,1058810
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0498.F.fq.gz,COPE-0498,5464473
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0499.F.fq.gz,COPE-0499,15330394
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0500.F.fq.gz,COPE-0500,660192
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0501.F.fq.gz,COPE-0501,789266
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0502.F.fq.gz,COPE-0502,24066
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0503.F.fq.gz,COPE-0503,848754
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0504.F.fq.gz,COPE-0504,2375882
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0505.F.fq.gz,COPE-0505,2580247
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0506.F.fq.gz,COPE-0506,986614
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0507.F.fq.gz,COPE-0507,2738225
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0508.F.fq.gz,COPE-0508,5398311
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0509.F.fq.gz,COPE-0509,526409
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0510.F.fq.gz,COPE-0510,3293301
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0511.F.fq.gz,COPE-0511,1437622
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0512.F.fq.gz,COPE-0512,1837820
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0513.F.fq.gz,COPE-0513,3923
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0514.F.fq.gz,COPE-0514,3503243
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0515.F.fq.gz,COPE-0515,1452773
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0516.F.fq.gz,COPE-0516,625
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0517.F.fq.gz,COPE-0517,3169857
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0518.F.fq.gz,COPE-0518,376631
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0519.F.fq.gz,COPE-0519,741163
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0520.F.fq.gz,COPE-0520,286045
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0521.F.fq.gz,COPE-0521,1161834
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0522.F.fq.gz,COPE-0522,3138484
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0523.F.fq.gz,COPE-0523,297478
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0524.F.fq.gz,COPE-0524,434134
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0525.F.fq.gz,COPE-0525,3602306
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0526.F.fq.gz,COPE-0526,1144149
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0527.F.fq.gz,COPE-0527,377336
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0528.F.fq.gz,COPE-0528,2491669
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0529.F.fq.gz,COPE-0529,4467786
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0530.F.fq.gz,COPE-0530,2745378
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0531.F.fq.gz,COPE-0531,1810452
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0532.F.fq.gz,COPE-0532,676363
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0533.F.fq.gz,COPE-0533,379
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0534.F.fq.gz,COPE-0534,2008422
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0535.F.fq.gz,COPE-0535,1258477
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/demultiplexed_seqs/COPE-0536.F.fq.gz,COPE-0536,515429
