file,mapped_reads
COPE_0734.fp2.repr.2.1-RG.bam,4321186
COPE_0735.fp2.repr.2.1-RG.bam,6463193
COPE_0736.fp2.repr.2.1-RG.bam,118892
COPE_0737.fp2.repr.2.1-RG.bam,1417006
COPE_0738.fp2.repr.2.1-RG.bam,2584213
COPE_0739.fp2.repr.2.1-RG.bam,3075322
COPE_0740.fp2.repr.2.1-RG.bam,213436
COPE_0741.fp2.repr.2.1-RG.bam,2218121
COPE_0742.fp2.repr.2.1-RG.bam,915939
COPE_0743.fp2.repr.2.1-RG.bam,1084413
COPE_0744.fp2.repr.2.1-RG.bam,8171157
COPE_0746.fp2.repr.2.1-RG.bam,3375037
COPE_0747.fp2.repr.2.1-RG.bam,214590
COPE_0748.fp2.repr.2.1-RG.bam,4904173
COPE_0749.fp2.repr.2.1-RG.bam,3888102
COPE_0750.fp2.repr.2.1-RG.bam,1609238
COPE_0751.fp2.repr.2.1-RG.bam,802919
COPE_0752.fp2.repr.2.1-RG.bam,3008447
COPE_0753.fp2.repr.2.1-RG.bam,3066711
COPE_0754.fp2.repr.2.1-RG.bam,4689563
COPE_0755.fp2.repr.2.1-RG.bam,7898383
COPE_0756.fp2.repr.2.1-RG.bam,2994055
COPE_0757.fp2.repr.2.1-RG.bam,1455593
COPE_0758.fp2.repr.2.1-RG.bam,4997424
COPE_0759.fp2.repr.2.1-RG.bam,2603902
COPE_0760.fp2.repr.2.1-RG.bam,539331
COPE_0761.fp2.repr.2.1-RG.bam,222539
COPE_0762.fp2.repr.2.1-RG.bam,2228512
COPE_0764.fp2.repr.2.1-RG.bam,236373
COPE_0765.fp2.repr.2.1-RG.bam,5868169
COPE_0766.fp2.repr.2.1-RG.bam,1338472
COPE_0767.fp2.repr.2.1-RG.bam,2471556
COPE_0768.fp2.repr.2.1-RG.bam,2999998
COPE_0769.fp2.repr.2.1-RG.bam,1802613
COPE_0770.fp2.repr.2.1-RG.bam,2684430
COPE_0771.fp2.repr.2.1-RG.bam,2293940
COPE_0772.fp2.repr.2.1-RG.bam,4306562
COPE_0773.fp2.repr.2.1-RG.bam,2338110
COPE_0774.fp2.repr.2.1-RG.bam,156052
COPE_0775.fp2.repr.2.1-RG.bam,1424983
COPE_0778.fp2.repr.2.1-RG.bam,1896857
COPE_0779.fp2.repr.2.1-RG.bam,16051
COPE_0781.fp2.repr.2.1-RG.bam,274404
COPE_0782.fp2.repr.2.1-RG.bam,6702160
COPE_0783.fp2.repr.2.1-RG.bam,266939
COPE_0784.fp2.repr.2.1-RG.bam,1406921
COPE_0785.fp2.repr.2.1-RG.bam,4495384
COPE_0786.fp2.repr.2.1-RG.bam,467165
COPE_0787.fp2.repr.2.1-RG.bam,247495
COPE_0788.fp2.repr.2.1-RG.bam,9834751
COPE_0789.fp2.repr.2.1-RG.bam,3298719
COPE_0790.fp2.repr.2.1-RG.bam,2178025
COPE_0791.fp2.repr.2.1-RG.bam,5626331
COPE_0792.fp2.repr.2.1-RG.bam,82710
COPE_0793.fp2.repr.2.1-RG.bam,362588
COPE_0794.fp2.repr.2.1-RG.bam,912762
COPE_0795.fp2.repr.2.1-RG.bam,834463
COPE_0796.fp2.repr.2.1-RG.bam,5146113
COPE_0797.fp2.repr.2.1-RG.bam,2338027
COPE_0798.fp2.repr.2.1-RG.bam,1223158
COPE_0799.fp2.repr.2.1-RG.bam,10831549
COPE_0800.fp2.repr.2.1-RG.bam,2470867
COPE_0801.fp2.repr.2.1-RG.bam,14138082
COPE_0802.fp2.repr.2.1-RG.bam,58579
COPE_0803.fp2.repr.2.1-RG.bam,1983244
COPE_0804.fp2.repr.2.1-RG.bam,126457
COPE_0805.fp2.repr.2.1-RG.bam,3120420
COPE_0806.fp2.repr.2.1-RG.bam,263178
COPE_0807.fp2.repr.2.1-RG.bam,153503
COPE_0808.fp2.repr.2.1-RG.bam,2137294
COPE_0809.fp2.repr.2.1-RG.bam,2370381
COPE_0810.fp2.repr.2.1-RG.bam,142767
COPE_0811.fp2.repr.2.1-RG.bam,265633
COPE_0812.fp2.repr.2.1-RG.bam,1806554
COPE_0813.fp2.repr.2.1-RG.bam,1997715
COPE_0814.fp2.repr.2.1-RG.bam,2721520
COPE_0815.fp2.repr.2.1-RG.bam,807837
COPE_0816.fp2.repr.2.1-RG.bam,1431818
COPE_0817.fp2.repr.2.1-RG.bam,210605
COPE_0818.fp2.repr.2.1-RG.bam,6154136
COPE_0819.fp2.repr.2.1-RG.bam,2137119
COPE_0820.fp2.repr.2.1-RG.bam,396680
COPE_0822.fp2.repr.2.1-RG.bam,5405465
COPE_0823.fp2.repr.2.1-RG.bam,1077566
COPE_0825.fp2.repr.2.1-RG.bam,170701
COPE_0826.fp2.repr.2.1-RG.bam,6098010
