file,mapped_reads
COPE_0661.fp2.repr.10.1-RAW.bam,22855341
COPE_0662.fp2.repr.10.1-RAW.bam,6923158
COPE_0663.fp2.repr.10.1-RAW.bam,18618688
COPE_0664.fp2.repr.10.1-RAW.bam,8316042
COPE_0665.fp2.repr.10.1-RAW.bam,4565103
COPE_0666.fp2.repr.10.1-RAW.bam,241441
COPE_0667.fp2.repr.10.1-RAW.bam,9312088
COPE_0668.fp2.repr.10.1-RAW.bam,1567492
COPE_0669.fp2.repr.10.1-RAW.bam,874545
COPE_0670.fp2.repr.10.1-RAW.bam,410265
COPE_0671.fp2.repr.10.1-RAW.bam,3580557
COPE_0672.fp2.repr.10.1-RAW.bam,1269256
COPE_0673.fp2.repr.10.1-RAW.bam,4915720
COPE_0674.fp2.repr.10.1-RAW.bam,10937888
COPE_0675.fp2.repr.10.1-RAW.bam,30680832
COPE_0676.fp2.repr.10.1-RAW.bam,5257813
COPE_0677.fp2.repr.10.1-RAW.bam,16088113
COPE_0678.fp2.repr.10.1-RAW.bam,2324255
COPE_0679.fp2.repr.10.1-RAW.bam,2470967
COPE_0680.fp2.repr.10.1-RAW.bam,5215898
COPE_0681.fp2.repr.10.1-RAW.bam,1960460
COPE_0682.fp2.repr.10.1-RAW.bam,11050190
COPE_0683.fp2.repr.10.1-RAW.bam,9224537
COPE_0684.fp2.repr.10.1-RAW.bam,3934432
COPE_0685.fp2.repr.10.1-RAW.bam,2526138
COPE_0686.fp2.repr.10.1-RAW.bam,1929589
COPE_0687.fp2.repr.10.1-RAW.bam,874131
COPE_0688.fp2.repr.10.1-RAW.bam,6181174
COPE_0690.fp2.repr.10.1-RAW.bam,4550981
COPE_0692.fp2.repr.10.1-RAW.bam,3814128
COPE_0693.fp2.repr.10.1-RAW.bam,4247609
COPE_0694.fp2.repr.10.1-RAW.bam,5948454
COPE_0695.fp2.repr.10.1-RAW.bam,9089548
COPE_0696.fp2.repr.10.1-RAW.bam,9836701
COPE_0697.fp2.repr.10.1-RAW.bam,3718066
COPE_0698.fp2.repr.10.1-RAW.bam,514683
COPE_0699.fp2.repr.10.1-RAW.bam,38000472
COPE_0700.fp2.repr.10.1-RAW.bam,7492929
COPE_0701.fp2.repr.10.1-RAW.bam,1395496
COPE_0702.fp2.repr.10.1-RAW.bam,10453568
COPE_0703.fp2.repr.10.1-RAW.bam,3400374
COPE_0704.fp2.repr.10.1-RAW.bam,1621325
COPE_0705.fp2.repr.10.1-RAW.bam,23101278
COPE_0706.fp2.repr.10.1-RAW.bam,4313816
COPE_0707.fp2.repr.10.1-RAW.bam,580209
COPE_0708.fp2.repr.10.1-RAW.bam,14076520
COPE_0709.fp2.repr.10.1-RAW.bam,13082311
COPE_0710.fp2.repr.10.1-RAW.bam,64943
COPE_0711.fp2.repr.10.1-RAW.bam,8207587
COPE_0712.fp2.repr.10.1-RAW.bam,8366957
COPE_0713.fp2.repr.10.1-RAW.bam,6799764
COPE_0715.fp2.repr.10.1-RAW.bam,740078
COPE_0716.fp2.repr.10.1-RAW.bam,8313362
COPE_0717.fp2.repr.10.1-RAW.bam,6090787
COPE_0718.fp2.repr.10.1-RAW.bam,8317204
COPE_0719.fp2.repr.10.1-RAW.bam,5135560
COPE_0720.fp2.repr.10.1-RAW.bam,1980463
COPE_0721.fp2.repr.10.1-RAW.bam,6119967
COPE_0722.fp2.repr.10.1-RAW.bam,6769363
COPE_0723.fp2.repr.10.1-RAW.bam,7353802
COPE_0724.fp2.repr.10.1-RAW.bam,548637
COPE_0725.fp2.repr.10.1-RAW.bam,8977491
COPE_0726.fp2.repr.10.1-RAW.bam,10176113
COPE_0727.fp2.repr.10.1-RAW.bam,1087779
COPE_0728.fp2.repr.10.1-RAW.bam,1137172
COPE_0729.fp2.repr.10.1-RAW.bam,4403638
COPE_0730.fp2.repr.10.1-RAW.bam,3141136
COPE_0731.fp2.repr.10.1-RAW.bam,2746732
COPE_0732.fp2.repr.10.1-RAW.bam,4815057
COPE_0734.fp2.repr.10.1-RAW.bam,9444438
COPE_0735.fp2.repr.10.1-RAW.bam,30556191
COPE_0736.fp2.repr.10.1-RAW.bam,333374
COPE_0737.fp2.repr.10.1-RAW.bam,3339668
COPE_0738.fp2.repr.10.1-RAW.bam,7377831
COPE_0739.fp2.repr.10.1-RAW.bam,7185228
COPE_0740.fp2.repr.10.1-RAW.bam,941072
COPE_0741.fp2.repr.10.1-RAW.bam,4941718
COPE_0742.fp2.repr.10.1-RAW.bam,4297575
COPE_0743.fp2.repr.10.1-RAW.bam,2580531
COPE_0744.fp2.repr.10.1-RAW.bam,23092531
COPE_0745.fp2.repr.10.1-RAW.bam,403933
COPE_0746.fp2.repr.10.1-RAW.bam,8029526
COPE_0747.fp2.repr.10.1-RAW.bam,455630
COPE_0748.fp2.repr.10.1-RAW.bam,12150280
COPE_0749.fp2.repr.10.1-RAW.bam,17860077
COPE_0750.fp2.repr.10.1-RAW.bam,4631988
COPE_0751.fp2.repr.10.1-RAW.bam,1747561
COPE_0752.fp2.repr.10.1-RAW.bam,6703182
COPE_0753.fp2.repr.10.1-RAW.bam,7806152
COPE_0754.fp2.repr.10.1-RAW.bam,10833618
COPE_0755.fp2.repr.10.1-RAW.bam,18994359
COPE_0756.fp2.repr.10.1-RAW.bam,6837676
COPE_0757.fp2.repr.10.1-RAW.bam,4413589
COPE_0758.fp2.repr.10.1-RAW.bam,11964807
COPE_0759.fp2.repr.10.1-RAW.bam,6531618
COPE_0760.fp2.repr.10.1-RAW.bam,1202667
COPE_0761.fp2.repr.10.1-RAW.bam,627414
COPE_0762.fp2.repr.10.1-RAW.bam,4914299
COPE_0763.fp2.repr.10.1-RAW.bam,14503699
COPE_0764.fp2.repr.10.1-RAW.bam,1105712
COPE_0765.fp2.repr.10.1-RAW.bam,13411110
COPE_0766.fp2.repr.10.1-RAW.bam,3684750
COPE_0767.fp2.repr.10.1-RAW.bam,6294570
COPE_0768.fp2.repr.10.1-RAW.bam,6455801
COPE_0769.fp2.repr.10.1-RAW.bam,4300311
COPE_0770.fp2.repr.10.1-RAW.bam,6075493
COPE_0771.fp2.repr.10.1-RAW.bam,4868586
COPE_0772.fp2.repr.10.1-RAW.bam,20833053
COPE_0773.fp2.repr.10.1-RAW.bam,6739351
COPE_0774.fp2.repr.10.1-RAW.bam,360980
