file,mapped_reads
COPE_0793.fp2.repr.20.10-RAW.bam,792470
COPE_0794.fp2.repr.20.10-RAW.bam,1848742
COPE_0795.fp2.repr.20.10-RAW.bam,1675768
COPE_0796.fp2.repr.20.10-RAW.bam,11364296
COPE_0797.fp2.repr.20.10-RAW.bam,4962775
COPE_0798.fp2.repr.20.10-RAW.bam,2473850
COPE_0799.fp2.repr.20.10-RAW.bam,22775421
COPE_0800.fp2.repr.20.10-RAW.bam,5845963
COPE_0801.fp2.repr.20.10-RAW.bam,29256168
COPE_0802.fp2.repr.20.10-RAW.bam,125074
COPE_0803.fp2.repr.20.10-RAW.bam,4128904
COPE_0804.fp2.repr.20.10-RAW.bam,261412
COPE_0805.fp2.repr.20.10-RAW.bam,6494888
COPE_0806.fp2.repr.20.10-RAW.bam,567968
COPE_0807.fp2.repr.20.10-RAW.bam,505760
COPE_0808.fp2.repr.20.10-RAW.bam,4423854
COPE_0809.fp2.repr.20.10-RAW.bam,4865103
COPE_0810.fp2.repr.20.10-RAW.bam,352834
COPE_0811.fp2.repr.20.10-RAW.bam,725130
COPE_0812.fp2.repr.20.10-RAW.bam,3718748
COPE_0813.fp2.repr.20.10-RAW.bam,4253359
COPE_0814.fp2.repr.20.10-RAW.bam,8288603
COPE_0815.fp2.repr.20.10-RAW.bam,1642998
COPE_0816.fp2.repr.20.10-RAW.bam,2998680
COPE_0817.fp2.repr.20.10-RAW.bam,778353
COPE_0818.fp2.repr.20.10-RAW.bam,13644857
COPE_0819.fp2.repr.20.10-RAW.bam,4455798
COPE_0820.fp2.repr.20.10-RAW.bam,789242
COPE_0821.fp2.repr.20.10-RAW.bam,4565803
COPE_0822.fp2.repr.20.10-RAW.bam,10825574
COPE_0823.fp2.repr.20.10-RAW.bam,2549174
COPE_0824.fp2.repr.20.10-RAW.bam,1566392
COPE_0825.fp2.repr.20.10-RAW.bam,350286
COPE_0826.fp2.repr.20.10-RAW.bam,12049124
COPE_0827.fp2.repr.20.10-RAW.bam,42935
COPE_0828.fp2.repr.20.10-RAW.bam,721684
COPE_0829.fp2.repr.20.10-RAW.bam,654964
COPE_0830.fp2.repr.20.10-RAW.bam,2823239
COPE_0831.fp2.repr.20.10-RAW.bam,31494021
COPE_0832.fp2.repr.20.10-RAW.bam,141606
COPE_0833.fp2.repr.20.10-RAW.bam,25578936
COPE_0834.fp2.repr.20.10-RAW.bam,1007926
COPE_0835.fp2.repr.20.10-RAW.bam,498291
COPE_0836.fp2.repr.20.10-RAW.bam,8096369
COPE_0837.fp2.repr.20.10-RAW.bam,4162476
COPE_0838.fp2.repr.20.10-RAW.bam,150757
COPE_0839.fp2.repr.20.10-RAW.bam,45105
COPE_0840.fp2.repr.20.10-RAW.bam,6279883
COPE_0841.fp2.repr.20.10-RAW.bam,8374827
COPE_0842.fp2.repr.20.10-RAW.bam,5272401
COPE_0843.fp2.repr.20.10-RAW.bam,1803539
COPE_0845.fp2.repr.20.10-RAW.bam,412971
COPE_0846.fp2.repr.20.10-RAW.bam,13624304
COPE_0847.fp2.repr.20.10-RAW.bam,382099
COPE_0848.fp2.repr.20.10-RAW.bam,9246972
COPE_0849.fp2.repr.20.10-RAW.bam,7919725
COPE_0850.fp2.repr.20.10-RAW.bam,1290623
COPE_0851.fp2.repr.20.10-RAW.bam,10046041
COPE_0852.fp2.repr.20.10-RAW.bam,910092
COPE_0853.fp2.repr.20.10-RAW.bam,3887398
COPE_0854.fp2.repr.20.10-RAW.bam,565269
COPE_0855.fp2.repr.20.10-RAW.bam,367126
COPE_0856.fp2.repr.20.10-RAW.bam,1903634
COPE_0857.fp2.repr.20.10-RAW.bam,6928326
COPE_0858.fp2.repr.20.10-RAW.bam,190438
COPE_0859.fp2.repr.20.10-RAW.bam,227969
COPE_0860.fp2.repr.20.10-RAW.bam,1620707
COPE_0861.fp2.repr.20.10-RAW.bam,785447
COPE_0862.fp2.repr.20.10-RAW.bam,4237787
COPE_0863.fp2.repr.20.10-RAW.bam,1271108
COPE_0864.fp2.repr.20.10-RAW.bam,4376427
COPE_0865.fp2.repr.20.10-RAW.bam,854301
COPE_0866.fp2.repr.20.10-RAW.bam,39705920
COPE_0867.fp2.repr.20.10-RAW.bam,5349976
COPE_0868.fp2.repr.20.10-RAW.bam,5700024
COPE_0869.fp2.repr.20.10-RAW.bam,1822860
COPE_0870.fp2.repr.20.10-RAW.bam,9192285
COPE_0871.fp2.repr.20.10-RAW.bam,4122221
COPE_0872.fp2.repr.20.10-RAW.bam,13822102
COPE_0873.fp2.repr.20.10-RAW.bam,967416
COPE_0874.fp2.repr.20.10-RAW.bam,1240701
COPE_0875.fp2.repr.20.10-RAW.bam,108034
COPE_0876.fp2.repr.20.10-RAW.bam,35871901
COPE_0877.fp2.repr.20.10-RAW.bam,1097165
COPE_0878.fp2.repr.20.10-RAW.bam,8348263
COPE_0879.fp2.repr.20.10-RAW.bam,16382270
COPE_0880.fp2.repr.20.10-RAW.bam,186144
COPE_0882.fp2.repr.20.10-RAW.bam,4301467
COPE_0883.fp2.repr.20.10-RAW.bam,40148206
COPE_0884.fp2.repr.20.10-RAW.bam,137822
COPE_0885.fp2.repr.20.10-RAW.bam,2222146
COPE_0886.fp2.repr.20.10-RAW.bam,6044158
COPE_0887.fp2.repr.20.10-RAW.bam,1236508
COPE_0888.fp2.repr.20.10-RAW.bam,2537475
COPE_0889.fp2.repr.20.10-RAW.bam,12940597
COPE_0890.fp2.repr.20.10-RAW.bam,3455908
COPE_0891.fp2.repr.20.10-RAW.bam,5271157
COPE_0892.fp2.repr.20.10-RAW.bam,7466524
COPE_0893.fp2.repr.20.10-RAW.bam,2064363
COPE_0894.fp2.repr.20.10-RAW.bam,6462019
COPE_0895.fp2.repr.20.10-RAW.bam,9249975
COPE_0896.fp2.repr.20.10-RAW.bam,82519
COPE_0897.fp2.repr.20.10-RAW.bam,3753975
COPE_0898.fp2.repr.20.10-RAW.bam,2481569
COPE_0899.fp2.repr.20.10-RAW.bam,3313668
COPE_0900.fp2.repr.20.10-RAW.bam,3099467
COPE_0901.fp2.repr.20.10-RAW.bam,15280913
COPE_0902.fp2.repr.20.10-RAW.bam,4014537
COPE_0903.fp2.repr.20.10-RAW.bam,5286861
COPE_0904.fp2.repr.20.10-RAW.bam,1380015
COPE_0905.fp2.repr.20.10-RAW.bam,417742
COPE_0906.fp2.repr.20.10-RAW.bam,548977
COPE_0907.fp2.repr.20.10-RAW.bam,28317094
COPE_0908.fp2.repr.20.10-RAW.bam,13897738
COPE_0909.fp2.repr.20.10-RAW.bam,5851119
COPE_0910.fp2.repr.20.10-RAW.bam,418758
COPE_0911.fp2.repr.20.10-RAW.bam,12400739
COPE_0912.fp2.repr.20.10-RAW.bam,5821290
COPE_0913.fp2.repr.20.10-RAW.bam,1893423
COPE_0914.fp2.repr.20.10-RAW.bam,3956771
COPE_0915.fp2.repr.20.10-RAW.bam,239354
COPE_0916.fp2.repr.20.10-RAW.bam,13107923
COPE_0917.fp2.repr.20.10-RAW.bam,814781
COPE_0918.fp2.repr.20.10-RAW.bam,3659333
COPE_0919.fp2.repr.20.10-RAW.bam,5073267
COPE_0920.fp2.repr.20.10-RAW.bam,11511527
COPE_0921.fp2.repr.20.10-RAW.bam,10780482
COPE_0922.fp2.repr.20.10-RAW.bam,375629
COPE_0923.fp2.repr.20.10-RAW.bam,632788
COPE_0924.fp2.repr.20.10-RAW.bam,10318861
COPE_0925.fp2.repr.20.10-RAW.bam,7046883
COPE_0926.fp2.repr.20.10-RAW.bam,11808991
COPE_0927.fp2.repr.20.10-RAW.bam,483161
COPE_0928.fp2.repr.20.10-RAW.bam,6675804
COPE_0929.fp2.repr.20.10-RAW.bam,5022925
COPE_0930.fp2.repr.20.10-RAW.bam,3610579
COPE_0931.fp2.repr.20.10-RAW.bam,20956556
COPE_0932.fp2.repr.20.10-RAW.bam,4855189
COPE_0933.fp2.repr.20.10-RAW.bam,5175172
COPE_0934.fp2.repr.20.10-RAW.bam,50192481
COPE_0935.fp2.repr.20.10-RAW.bam,945355
COPE_0936.fp2.repr.20.10-RAW.bam,8100991
COPE_0937.fp2.repr.20.10-RAW.bam,2667289
COPE_0938.fp2.repr.20.10-RAW.bam,5362915
COPE_0939.fp2.repr.20.10-RAW.bam,8246175
COPE_0940.fp2.repr.20.10-RAW.bam,21213471
COPE_0941.fp2.repr.20.10-RAW.bam,8639853
COPE_0942.fp2.repr.20.10-RAW.bam,11978117
COPE_0943.fp2.repr.20.10-RAW.bam,3645962
COPE_0944.fp2.repr.20.10-RAW.bam,2980641
COPE_0945.fp2.repr.20.10-RAW.bam,1842013
COPE_0946.fp2.repr.20.10-RAW.bam,94331
COPE_0947.fp2.repr.20.10-RAW.bam,13706686
COPE_0948.fp2.repr.20.10-RAW.bam,8942004
COPE_0949.fp2.repr.20.10-RAW.bam,1931665
COPE_0950.fp2.repr.20.10-RAW.bam,1683678
COPE_0951.fp2.repr.20.10-RAW.bam,1375124
COPE_0952.fp2.repr.20.10-RAW.bam,7487651
COPE_0953.fp2.repr.20.10-RAW.bam,1124507
COPE_0954.fp2.repr.20.10-RAW.bam,525929
COPE_0955.fp2.repr.20.10-RAW.bam,763314
COPE_0956.fp2.repr.20.10-RAW.bam,9070287
COPE_0957.fp2.repr.20.10-RAW.bam,337204
COPE_0958.fp2.repr.20.10-RAW.bam,11147189
COPE_0960.fp2.repr.20.10-RAW.bam,14017335
COPE_0961.fp2.repr.20.10-RAW.bam,4743469
COPE_0962.fp2.repr.20.10-RAW.bam,2483161
COPE_0963.fp2.repr.20.10-RAW.bam,2241090
COPE_0964.fp2.repr.20.10-RAW.bam,2255884
COPE_0965.fp2.repr.20.10-RAW.bam,4723148
COPE_0966.fp2.repr.20.10-RAW.bam,2989846
COPE_0967.fp2.repr.20.10-RAW.bam,4007510
COPE_0968.fp2.repr.20.10-RAW.bam,1237296
