Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0570	12011296.0	26974.0	0.0	89168.0
COPE-0571	388016.0	1506.0	0.0	3354.0
COPE-0572	2445978.0	8332.0	0.0	20210.0
COPE-0573	1107026.0	3268.0	0.0	7164.0
COPE-0574	5238.0	14.0	0.0	48.0
COPE-0575	4181930.0	13756.0	0.0	31334.0
COPE-0576	2513946.0	9352.0	0.0	23096.0
COPE-0577	1048168.0	3090.0	0.0	9092.0
COPE-0578	561810.0	2222.0	0.0	4314.0
COPE-0579	10833458.0	42152.0	0.0	90488.0
COPE-0580	628642.0	1716.0	0.0	6238.0
COPE-0581	2164.0	18.0	0.0	30.0
COPE-0582	25940016.0	65620.0	0.0	184768.0
COPE-0583	2173790.0	7556.0	0.0	16904.0
COPE-0584	21744356.0	56350.0	0.0	241856.0
COPE-0585	235102.0	716.0	0.0	3148.0
COPE-0586	1885778.0	6386.0	0.0	24478.0
COPE-0587	6440226.0	14354.0	0.0	28330.0
COPE-0588	4061324.0	13868.0	0.0	29188.0
COPE-0589	8089962.0	28646.0	0.0	64636.0
COPE-0590	8020.0	46.0	0.0	236.0
COPE-0591	2727044.0	8252.0	0.0	25062.0
COPE-0592	3350946.0	9486.0	0.0	33970.0
COPE-0593	1297106.0	4576.0	0.0	10716.0
COPE-0594	3705260.0	10008.0	0.0	40636.0
COPE-0595	9868892.0	34090.0	0.0	81708.0
COPE-0596	21398052.0	73728.0	0.0	159666.0
COPE-0597	6809782.0	17598.0	0.0	130168.0
COPE-0598	69256.0	364.0	0.0	2068.0
COPE-0599	203840.0	602.0	0.0	3726.0
COPE-0600	10192358.0	34334.0	0.0	83692.0
COPE-0601	5601482.0	17780.0	0.0	48986.0
COPE-0602	4755808.0	16494.0	0.0	42850.0
COPE-0603	1605356.0	3858.0	0.0	11626.0
COPE-0604	716500.0	1872.0	0.0	5462.0
COPE-0605	491172.0	1260.0	0.0	10472.0
COPE-0606	303766.0	1010.0	0.0	3318.0
COPE-0607	10668276.0	48388.0	0.0	97830.0
COPE-0608	2449296.0	7094.0	0.0	22574.0
COPE-0609	6682.0	28.0	0.0	116.0
COPE-0610	4466544.0	16408.0	0.0	40902.0
COPE-0611	10952654.0	41368.0	0.0	97132.0
COPE-0612	3444588.0	13348.0	0.0	33798.0
COPE-0613	7901456.0	24434.0	0.0	81822.0
COPE-0614	11430848.0	29528.0	0.0	71194.0
COPE-0615	2962080.0	8790.0	0.0	26770.0
COPE-0616	8670698.0	35348.0	0.0	81588.0
COPE-0617	2681406.0	5524.0	0.0	12372.0
COPE-0618	8795496.0	28598.0	0.0	142156.0
COPE-0619	1739462.0	4864.0	0.0	19050.0
COPE-0620	2364416.0	7342.0	0.0	19416.0
COPE-0621	3632708.0	9144.0	0.0	38074.0
COPE-0622	301618.0	918.0	0.0	2754.0
COPE-0623	6504978.0	21734.0	0.0	42538.0
COPE-0624	3638408.0	9174.0	0.0	29652.0
COPE-0625	165714.0	522.0	0.0	2512.0
COPE-0626	1187370.0	2934.0	0.0	10576.0
COPE-0627	2936144.0	8130.0	0.0	19260.0
COPE-0628	38234.0	104.0	0.0	470.0
COPE-0629	3266686.0	8862.0	0.0	23378.0
COPE-0630	6938634.0	22370.0	0.0	69144.0
COPE-0631	5811308.0	23046.0	0.0	72088.0
COPE-0632	686660.0	2714.0	0.0	14310.0
COPE-0633	8244288.0	33708.0	0.0	73602.0
COPE-0634	7162702.0	23566.0	0.0	70542.0
COPE-0635	449054.0	1126.0	0.0	9798.0
COPE-0636	4452634.0	11530.0	0.0	36252.0
COPE-0637	8151992.0	27202.0	0.0	89016.0
COPE-0638	4579530.0	15766.0	0.0	48640.0
COPE-0639	9399138.0	27276.0	0.0	91788.0
COPE-0640	15355860.0	50736.0	0.0	120936.0
COPE-0641	24088.0	102.0	0.0	236.0
COPE-0642	1559524.0	5938.0	0.0	10856.0
COPE-0643	1371468.0	4630.0	0.0	10520.0
COPE-0644	1567360.0	5322.0	0.0	14480.0
COPE-0645	11095744.0	31552.0	0.0	104542.0
COPE-0646	719976.0	3678.0	0.0	5966.0
COPE-0647	4035174.0	17690.0	0.0	29132.0
COPE-0648	262338.0	946.0	0.0	2782.0
COPE-0649	7911404.0	25532.0	0.0	77312.0
COPE-0650	7921806.0	20986.0	0.0	68052.0
COPE-0651	2591466.0	10880.0	0.0	19946.0
COPE-0652	2016656.0	9770.0	0.0	19176.0
COPE-0653	2006118.0	7696.0	0.0	15916.0
COPE-0654	2103362.0	7328.0	0.0	19942.0
COPE-0655	2207074.0	7046.0	0.0	17640.0
COPE-0656	757356.0	2444.0	0.0	26290.0
COPE-0657	5826456.0	18570.0	0.0	50214.0
COPE-0658	1520132.0	3476.0	0.0	7468.0
COPE-0659	639242.0	2724.0	0.0	6942.0
COPE-0660	1810948.0	6506.0	0.0	17604.0
COPE-0661	14920218.0	39796.0	0.0	152558.0
COPE-0662	4498600.0	12210.0	0.0	39462.0
COPE-0663	15237416.0	46158.0	0.0	71034.0
COPE-0664	5479288.0	13542.0	0.0	52604.0
COPE-0665	2997922.0	8378.0	0.0	26286.0
COPE-0666	154588.0	502.0	0.0	6640.0
COPE-0667	6169134.0	20952.0	0.0	59096.0
COPE-0668	973084.0	2292.0	0.0	9256.0
