file,mapped_reads
COPE_0634.fp2.repr.20.10-RG.bam,2558511
COPE_0635.fp2.repr.20.10-RG.bam,142958
COPE_0636.fp2.repr.20.10-RG.bam,1739629
COPE_0637.fp2.repr.20.10-RG.bam,2976750
COPE_0638.fp2.repr.20.10-RG.bam,1517961
COPE_0639.fp2.repr.20.10-RG.bam,3243460
COPE_0640.fp2.repr.20.10-RG.bam,5175663
COPE_0641.fp2.repr.20.10-RG.bam,7105
COPE_0642.fp2.repr.20.10-RG.bam,457658
COPE_0643.fp2.repr.20.10-RG.bam,404139
COPE_0644.fp2.repr.20.10-RG.bam,533847
COPE_0645.fp2.repr.20.10-RG.bam,3686903
COPE_0646.fp2.repr.20.10-RG.bam,208796
COPE_0647.fp2.repr.20.10-RG.bam,1314441
COPE_0648.fp2.repr.20.10-RG.bam,94237
COPE_0649.fp2.repr.20.10-RG.bam,2539720
COPE_0650.fp2.repr.20.10-RG.bam,2872410
COPE_0651.fp2.repr.20.10-RG.bam,629007
COPE_0652.fp2.repr.20.10-RG.bam,636249
COPE_0653.fp2.repr.20.10-RG.bam,680215
COPE_0654.fp2.repr.20.10-RG.bam,642242
COPE_0655.fp2.repr.20.10-RG.bam,656805
COPE_0656.fp2.repr.20.10-RG.bam,251183
COPE_0657.fp2.repr.20.10-RG.bam,2116249
COPE_0658.fp2.repr.20.10-RG.bam,308349
COPE_0659.fp2.repr.20.10-RG.bam,203287
COPE_0660.fp2.repr.20.10-RG.bam,606457
COPE_0661.fp2.repr.20.10-RG.bam,5776691
COPE_0662.fp2.repr.20.10-RG.bam,1488862
COPE_0663.fp2.repr.20.10-RG.bam,4675883
COPE_0664.fp2.repr.20.10-RG.bam,2140159
COPE_0665.fp2.repr.20.10-RG.bam,1183440
COPE_0666.fp2.repr.20.10-RG.bam,41172
COPE_0667.fp2.repr.20.10-RG.bam,1898740
COPE_0668.fp2.repr.20.10-RG.bam,316788
COPE_0669.fp2.repr.20.10-RG.bam,160357
COPE_0670.fp2.repr.20.10-RG.bam,89463
COPE_0671.fp2.repr.20.10-RG.bam,704615
COPE_0672.fp2.repr.20.10-RG.bam,281189
COPE_0673.fp2.repr.20.10-RG.bam,1063885
COPE_0674.fp2.repr.20.10-RG.bam,2827905
COPE_0675.fp2.repr.20.10-RG.bam,5733813
COPE_0676.fp2.repr.20.10-RG.bam,1273219
COPE_0677.fp2.repr.20.10-RG.bam,4285818
COPE_0678.fp2.repr.20.10-RG.bam,597380
COPE_0679.fp2.repr.20.10-RG.bam,420271
COPE_0680.fp2.repr.20.10-RG.bam,1343074
COPE_0681.fp2.repr.20.10-RG.bam,521838
COPE_0682.fp2.repr.20.10-RG.bam,2860860
COPE_0683.fp2.repr.20.10-RG.bam,2493711
COPE_0684.fp2.repr.20.10-RG.bam,1050882
COPE_0685.fp2.repr.20.10-RG.bam,664532
COPE_0686.fp2.repr.20.10-RG.bam,508146
COPE_0687.fp2.repr.20.10-RG.bam,207996
COPE_0688.fp2.repr.20.10-RG.bam,1527647
COPE_0690.fp2.repr.20.10-RG.bam,880857
COPE_0692.fp2.repr.20.10-RG.bam,589514
COPE_0693.fp2.repr.20.10-RG.bam,1093861
COPE_0694.fp2.repr.20.10-RG.bam,1817488
COPE_0695.fp2.repr.20.10-RG.bam,2279750
COPE_0696.fp2.repr.20.10-RG.bam,2517215
COPE_0697.fp2.repr.20.10-RG.bam,1049437
COPE_0698.fp2.repr.20.10-RG.bam,102508
COPE_0699.fp2.repr.20.10-RG.bam,9317035
COPE_0700.fp2.repr.20.10-RG.bam,2043560
COPE_0701.fp2.repr.20.10-RG.bam,274995
COPE_0702.fp2.repr.20.10-RG.bam,2705765
COPE_0703.fp2.repr.20.10-RG.bam,871138
COPE_0704.fp2.repr.20.10-RG.bam,318620
COPE_0705.fp2.repr.20.10-RG.bam,6299605
COPE_0706.fp2.repr.20.10-RG.bam,872448
COPE_0707.fp2.repr.20.10-RG.bam,86551
COPE_0708.fp2.repr.20.10-RG.bam,3526421
COPE_0709.fp2.repr.20.10-RG.bam,3306360
COPE_0710.fp2.repr.20.10-RG.bam,15597
COPE_0711.fp2.repr.20.10-RG.bam,1579192
COPE_0712.fp2.repr.20.10-RG.bam,1415780
COPE_0713.fp2.repr.20.10-RG.bam,1414049
COPE_0715.fp2.repr.20.10-RG.bam,178950
COPE_0716.fp2.repr.20.10-RG.bam,2405165
COPE_0717.fp2.repr.20.10-RG.bam,1663878
COPE_0718.fp2.repr.20.10-RG.bam,1781501
COPE_0719.fp2.repr.20.10-RG.bam,1028417
COPE_0720.fp2.repr.20.10-RG.bam,391892
COPE_0721.fp2.repr.20.10-RG.bam,1203114
COPE_0722.fp2.repr.20.10-RG.bam,1770722
COPE_0723.fp2.repr.20.10-RG.bam,1679243
COPE_0724.fp2.repr.20.10-RG.bam,123788
COPE_0725.fp2.repr.20.10-RG.bam,2220256
COPE_0726.fp2.repr.20.10-RG.bam,2767353
COPE_0727.fp2.repr.20.10-RG.bam,267866
COPE_0728.fp2.repr.20.10-RG.bam,267075
COPE_0729.fp2.repr.20.10-RG.bam,1169753
COPE_0730.fp2.repr.20.10-RG.bam,844434
COPE_0731.fp2.repr.20.10-RG.bam,666131
COPE_0732.fp2.repr.20.10-RG.bam,1310515
COPE_0734.fp2.repr.20.10-RG.bam,2496052
COPE_0735.fp2.repr.20.10-RG.bam,6005389
COPE_0736.fp2.repr.20.10-RG.bam,77443
COPE_0737.fp2.repr.20.10-RG.bam,823092
COPE_0738.fp2.repr.20.10-RG.bam,1567008
COPE_0739.fp2.repr.20.10-RG.bam,1859278
COPE_0740.fp2.repr.20.10-RG.bam,184967
COPE_0741.fp2.repr.20.10-RG.bam,1315451
COPE_0742.fp2.repr.20.10-RG.bam,801771
COPE_0743.fp2.repr.20.10-RG.bam,641328
COPE_0744.fp2.repr.20.10-RG.bam,5461159
COPE_0745.fp2.repr.20.10-RG.bam,77950
COPE_0746.fp2.repr.20.10-RG.bam,2026624
COPE_0747.fp2.repr.20.10-RG.bam,125640
COPE_0748.fp2.repr.20.10-RG.bam,3022176
COPE_0749.fp2.repr.20.10-RG.bam,3564410
COPE_0750.fp2.repr.20.10-RG.bam,1096041
COPE_0751.fp2.repr.20.10-RG.bam,455291
COPE_0752.fp2.repr.20.10-RG.bam,1856038
COPE_0753.fp2.repr.20.10-RG.bam,2001095
COPE_0754.fp2.repr.20.10-RG.bam,2886639
COPE_0755.fp2.repr.20.10-RG.bam,5039590
COPE_0756.fp2.repr.20.10-RG.bam,1861131
COPE_0757.fp2.repr.20.10-RG.bam,1065480
COPE_0758.fp2.repr.20.10-RG.bam,3072907
COPE_0759.fp2.repr.20.10-RG.bam,1706809
COPE_0760.fp2.repr.20.10-RG.bam,309461
COPE_0761.fp2.repr.20.10-RG.bam,163480
COPE_0762.fp2.repr.20.10-RG.bam,1308010
COPE_0763.fp2.repr.20.10-RG.bam,3000368
COPE_0764.fp2.repr.20.10-RG.bam,203832
COPE_0765.fp2.repr.20.10-RG.bam,3468844
COPE_0766.fp2.repr.20.10-RG.bam,866938
COPE_0767.fp2.repr.20.10-RG.bam,1625463
COPE_0768.fp2.repr.20.10-RG.bam,1761429
COPE_0769.fp2.repr.20.10-RG.bam,1053601
COPE_0770.fp2.repr.20.10-RG.bam,1604947
COPE_0771.fp2.repr.20.10-RG.bam,1383393
COPE_0772.fp2.repr.20.10-RG.bam,3823893
COPE_0773.fp2.repr.20.10-RG.bam,1564987
COPE_0774.fp2.repr.20.10-RG.bam,92196
COPE_0775.fp2.repr.20.10-RG.bam,800635
COPE_0776.fp2.repr.20.10-RG.bam,288631
COPE_0777.fp2.repr.20.10-RG.bam,3844
COPE_0778.fp2.repr.20.10-RG.bam,1117341
COPE_0779.fp2.repr.20.10-RG.bam,10649
COPE_0780.fp2.repr.20.10-RG.bam,194363
COPE_0781.fp2.repr.20.10-RG.bam,193186
COPE_0782.fp2.repr.20.10-RG.bam,6094226
COPE_0783.fp2.repr.20.10-RG.bam,165169
COPE_0784.fp2.repr.20.10-RG.bam,803938
COPE_0785.fp2.repr.20.10-RG.bam,3027287
COPE_0786.fp2.repr.20.10-RG.bam,270626
COPE_0787.fp2.repr.20.10-RG.bam,194558
COPE_0788.fp2.repr.20.10-RG.bam,5821890
COPE_0789.fp2.repr.20.10-RG.bam,1928132
COPE_0790.fp2.repr.20.10-RG.bam,1335593
COPE_0791.fp2.repr.20.10-RG.bam,3555337
