Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0557.fp2.repr,NA,0.9903474971042492,0,0,2.5700007710002316e-5,0.009626802888040867,0
COPE_0558.fp2.repr,z1,0,0.9999866,0,1.0000000000000001e-7,0,1.33e-5
COPE_0559.fp2.repr,z0,0.9999139,0,0,0,8.61e-5,0
COPE_0560.fp2.repr,NA,9.9999990000001e-8,0.9996937000306299,1.99999980000002e-7,8.89999911000009e-6,0,2.9709997029000296e-4
COPE_0561.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0562.fp2.repr,z0,0.9973953973953974,0,0,9.025009025009026e-4,0.0017021017021017022,0
COPE_0563.fp2.repr,NA,0,0.0167418,0.0415245,0.0118749,4.0000000000000003e-7,0.9298584
COPE_0565.fp2.repr,z1,0,0.9999928,0,0,0,7.2000000000000005e-6
COPE_0566.fp2.repr,z0,0.9942939977175991,0,0,0.004399501759800703,0.001306300522520209,2.0000008000003202e-7
COPE_0567.fp2.repr,z1,0,0.9999891,0,0,0,1.09e-5
COPE_0568.fp2.repr,NA,0,0.9811297981129798,0,4.7020004702000474e-4,0,0.018400001840000183
COPE_0569.fp2.repr,z0,0.9999312,0,0,1.68e-5,5.2e-5,0
COPE_0570.fp2.repr,NA,0,0.99895229979046,0,1.300000260000052e-6,0,0.001046400209280042
COPE_0571.fp2.repr,z1,0.021817617454093965,0.9714107771286217,7.992006393605115e-4,0.0012471009976807981,7.09500567600454e-4,0.00401580321264257
COPE_0572.fp2.repr,z1,0,0.99999420000000006,0,0,0,5.8e-6
COPE_0573.fp2.repr,NA,0,0.999601,0,0,0,3.9900000000000005e-4
COPE_0575.fp2.repr,z1,0,0.99994769999477,0,3.2000003200000315e-6,0,4.910000491000049e-5
COPE_0576.fp2.repr,z1,0,0.9999954,0,0,0,4.6e-6
COPE_0577.fp2.repr,z1,0,0.9999872,0,0,0,1.2800000000000001e-5
COPE_0578.fp2.repr,z1,1.2300006150003074e-4,0.9975329987664994,4.630002315001157e-5,2.7420013710006855e-4,1.2000006000003e-5,0.0020115010057505027
COPE_0579.fp2.repr,z1,0,0.999988,0,0,0,1.2e-5
COPE_0580.fp2.repr,z1,0,0.9999831,0,0,0,1.69e-5
COPE_0582.fp2.repr,z0,0.9998350000164999,0,0,7.99999920000008e-7,1.6419998358000164e-4,0
COPE_0583.fp2.repr,z1,0,0.9999959,0,0,0,4.1e-6
COPE_0584.fp2.repr,z1,0,0.9999952,0,0,0,4.8e-6
COPE_0585.fp2.repr,z1,0,0.9999658,0,6.2e-6,0,2.8e-5
COPE_0586.fp2.repr,NA,0.9846787954036386,0,0,1.0500003150000945e-5,0.015310704593211377,0
COPE_0587.fp2.repr,NA,0.99939720006028,0,0,2.9699997030000296e-5,5.730999426900057e-4,0
COPE_0588.fp2.repr,NA,0,0.9999747,0,0,0,2.53e-5
COPE_0589.fp2.repr,z1,0,0.9999968,0,0,0,3.2000000000000003e-6
COPE_0591.fp2.repr,NA,0.650185890111534,0,2.150001290000774e-4,0.008537905122743073,0.34104500462700277,1.6200009720005834e-5
COPE_0592.fp2.repr,z1,0,0.9999963,0,0,0,3.7e-6
COPE_0593.fp2.repr,z0,0.99990809999081,0,0,3.0000003000000295e-7,9.16000091600009e-5,0
COPE_0594.fp2.repr,z0,0.9999857,0,0,0,1.43e-5,0
COPE_0595.fp2.repr,z1,0,0.9999699,0,0,0,3.01e-5
COPE_0596.fp2.repr,z1,0,0.9999926,0,0,0,7.4e-6
COPE_0597.fp2.repr,z1,0,0.99996329999633,0,1.00000010000001e-7,0,3.6600003660000365e-5
COPE_0598.fp2.repr,NA,0.36414606358539364,0.5629389437061055,0.0013793998620600138,0.05318639468136053,0.010578498942150105,0.007770699222930077
COPE_0599.fp2.repr,z1,0,0.99998640000136,0,1.99999980000002e-7,0,1.3399998660000134e-5
COPE_0600.fp2.repr,NA,0,0.9994492999449299,0,1.3880001388000138e-4,0,4.119000411900041e-4
COPE_0601.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0602.fp2.repr,z1,0,0.9999972,0,0,0,2.8000000000000003e-6
COPE_0603.fp2.repr,z1,0,0.9999029,0,2.0000000000000002e-7,0,9.69e-5
COPE_0604.fp2.repr,z1,0,0.9995204,2.0000000000000002e-7,6.3e-5,2.0000000000000002e-7,4.162e-4
COPE_0605.fp2.repr,NA,0,0.9938524987704997,0,3.3700006740001345e-5,0,0.006113801222760245
COPE_0606.fp2.repr,NA,0.9925055985011196,0,0,3.00000060000012e-6,0.007491401498280299,0
COPE_0607.fp2.repr,z1,0,0.9999991,0,0,0,9.000000000000001e-7
COPE_0608.fp2.repr,z1,0,0.9999983,0,0,0,1.7e-6
COPE_0610.fp2.repr,z1,0,0.9999916,0,0,0,8.400000000000001e-6
COPE_0611.fp2.repr,z1,0,0.9999956,0,0,0,4.4e-6
COPE_0612.fp2.repr,z1,0,0.9999986,0,0,0,1.4000000000000001e-6
COPE_0613.fp2.repr,z1,0,0.9999972,0,0,0,2.8000000000000003e-6
COPE_0614.fp2.repr,z0,0.9998867999660399,0,0,1.4000004200001262e-6,1.1180003354001006e-4,0
COPE_0615.fp2.repr,NA,0.9917148,0,0,2.66e-5,0.0082586,0
COPE_0616.fp2.repr,z0,0.99999,0,0,1.0000000000000001e-7,9.9e-6,0
