Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
COPE-0620.fp2_r1_screen	1723.0	257.0	135.0	36.0	195.0	221.0	29.0	2.0	1.0	8375.0	1108777.0
COPE-0620.fp2_r2_screen	3412.0	938.0	186.0	533.0	448.0	35.0	25.0	4.0	1.0	5952.0	1108217.0
COPE-0621.fp2_r1_screen	3034.0	437.0	147.0	169.0	316.0	192.0	53.0	19.0	0.0	12923.0	1583571.0
COPE-0621.fp2_r2_screen	4138.0	1418.0	265.0	1028.0	483.0	72.0	109.0	1.0	0.0	16660.0	1576687.0
COPE-0622.fp2_r1_screen	296.0	32.0	25.0	33.0	33.0	13.0	2.0	0.0	0.0	1425.0	142210.0
COPE-0622.fp2_r2_screen	352.0	101.0	45.0	123.0	71.0	14.0	10.0	2.0	0.0	1184.0	142167.0
COPE-0623.fp2_r1_screen	3807.0	929.0	157.0	106.0	212.0	174.0	108.0	33.0	0.0	13832.0	2632380.0
COPE-0623.fp2_r2_screen	5996.0	3116.0	95.0	1136.0	742.0	78.0	79.0	6.0	0.0	38340.0	2602150.0
COPE-0624.fp2_r1_screen	2496.0	613.0	721.0	72.0	191.0	188.0	37.0	8.0	2.0	11089.0	1624636.0
COPE-0624.fp2_r2_screen	3705.0	1251.0	748.0	767.0	478.0	89.0	16.0	1.0	0.0	13118.0	1619880.0
COPE-0625.fp2_r1_screen	252.0	11.0	20.0	10.0	28.0	6.0	2.0	0.0	0.0	1537.0	74590.0
COPE-0625.fp2_r2_screen	264.0	128.0	30.0	80.0	24.0	11.0	1.0	0.0	0.0	1481.0	74437.0
COPE-0626.fp2_r1_screen	666.0	253.0	79.0	17.0	83.0	134.0	7.0	0.0	0.0	5020.0	578619.0
COPE-0626.fp2_r2_screen	1642.0	629.0	138.0	475.0	145.0	48.0	20.0	1.0	0.0	6436.0	575344.0
COPE-0627.fp2_r1_screen	1983.0	658.0	377.0	117.0	163.0	24.0	27.0	6.0	0.0	10668.0	1431633.0
COPE-0627.fp2_r2_screen	4226.0	2482.0	448.0	983.0	646.0	41.0	8.0	4.0	0.0	33954.0	1402864.0
COPE-0628.fp2_r1_screen	23.0	6.0	2.0	4.0	2.0	1.0	1.0	0.0	0.0	349.0	18412.0
COPE-0628.fp2_r2_screen	43.0	71.0	2.0	11.0	11.0	0.0	1.0	0.0	0.0	469.0	18192.0
COPE-0629.fp2_r1_screen	2521.0	554.0	976.0	353.0	208.0	168.0	15.0	0.0	0.0	12437.0	1593225.0
COPE-0629.fp2_r2_screen	4825.0	2532.0	1060.0	1039.0	491.0	20.0	19.0	0.0	1.0	37039.0	1563431.0
COPE-0630.fp2_r1_screen	7239.0	1077.0	475.0	410.0	585.0	4108.0	114.0	20.0	0.0	18668.0	3373122.0
COPE-0630.fp2_r2_screen	7780.0	2598.0	858.0	1623.0	772.0	3877.0	24.0	4.0	0.0	32530.0	3355752.0
COPE-0631.fp2_r1_screen	3824.0	643.0	1973.0	249.0	554.0	212.0	8.0	0.0	0.0	43297.0	2707898.0
COPE-0631.fp2_r2_screen	7666.0	4306.0	1431.0	1707.0	369.0	251.0	24.0	14.0	0.0	66441.0	2676449.0
COPE-0632.fp2_r1_screen	659.0	122.0	37.0	64.0	66.0	20.0	16.0	3.0	0.0	4618.0	324062.0
COPE-0632.fp2_r2_screen	872.0	375.0	157.0	230.0	60.0	4.0	12.0	3.0	0.0	5112.0	322842.0
COPE-0633.fp2_r1_screen	8472.0	926.0	588.0	407.0	631.0	522.0	152.0	1.0	3.0	21305.0	3943732.0
COPE-0633.fp2_r2_screen	10735.0	3163.0	650.0	1097.0	1177.0	1093.0	105.0	6.0	0.0	36853.0	3921860.0
COPE-0634.fp2_r1_screen	8749.0	982.0	358.0	165.0	595.0	405.0	120.0	1.0	0.0	19895.0	3482205.0
COPE-0634.fp2_r2_screen	8148.0	3402.0	396.0	1211.0	547.0	375.0	38.0	199.0	0.0	19063.0	3480096.0
COPE-0635.fp2_r1_screen	290.0	89.0	64.0	54.0	27.0	40.0	5.0	3.0	0.0	2475.0	214563.0
COPE-0635.fp2_r2_screen	563.0	339.0	116.0	124.0	32.0	5.0	3.0	1.0	0.0	3279.0	213148.0
COPE-0636.fp2_r1_screen	3496.0	749.0	1113.0	193.0	751.0	178.0	63.0	9.0	0.0	13414.0	2174018.0
COPE-0636.fp2_r2_screen	4679.0	1945.0	1703.0	1185.0	475.0	80.0	14.0	0.0	0.0	26340.0	2157563.0
COPE-0637.fp2_r1_screen	9987.0	1471.0	614.0	281.0	973.0	622.0	264.0	10.0	0.0	25551.0	3898071.0
COPE-0637.fp2_r2_screen	8911.0	3525.0	1463.0	1066.0	1381.0	373.0	99.0	5.0	0.0	18618.0	3902403.0
COPE-0638.fp2_r1_screen	4476.0	703.0	247.0	148.0	315.0	312.0	59.0	0.0	0.0	10775.0	2224288.0
COPE-0638.fp2_r2_screen	5512.0	2792.0	921.0	785.0	823.0	132.0	43.0	4.0	0.0	10281.0	2220030.0
COPE-0639.fp2_r1_screen	8664.0	1051.0	370.0	598.0	835.0	181.0	330.0	15.0	0.0	28954.0	4464202.0
COPE-0639.fp2_r2_screen	13587.0	2011.0	1104.0	2162.0	981.0	55.0	110.0	5.0	0.0	19631.0	4465554.0
COPE-0640.fp2_r1_screen	12834.0	2474.0	1416.0	1362.0	514.0	186.0	96.0	6.0	0.0	50549.0	7478044.0
