file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0552.fp2.repr.r1.fq.gz,COPE_0552,699615
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0553.fp2.repr.r1.fq.gz,COPE_0553,150922
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0554.fp2.repr.r1.fq.gz,COPE_0554,311687
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0555.fp2.repr.r1.fq.gz,COPE_0555,1988500
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0556.fp2.repr.r1.fq.gz,COPE_0556,4604858
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0557.fp2.repr.r1.fq.gz,COPE_0557,1345574
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0558.fp2.repr.r1.fq.gz,COPE_0558,539835
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0559.fp2.repr.r1.fq.gz,COPE_0559,936562
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0560.fp2.repr.r1.fq.gz,COPE_0560,4243036
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0561.fp2.repr.r1.fq.gz,COPE_0561,1452719
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0562.fp2.repr.r1.fq.gz,COPE_0562,19401
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0563.fp2.repr.r1.fq.gz,COPE_0563,1195932
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0564.fp2.repr.r1.fq.gz,COPE_0564,746
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0565.fp2.repr.r1.fq.gz,COPE_0565,10544651
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0566.fp2.repr.r1.fq.gz,COPE_0566,1357744
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0567.fp2.repr.r1.fq.gz,COPE_0567,1935620
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0568.fp2.repr.r1.fq.gz,COPE_0568,99349
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0569.fp2.repr.r1.fq.gz,COPE_0569,559237
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0570.fp2.repr.r1.fq.gz,COPE_0570,5700612
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0571.fp2.repr.r1.fq.gz,COPE_0571,182038
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0572.fp2.repr.r1.fq.gz,COPE_0572,1166588
