Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0654.r1r2_fastp	1995136.0	0.0	0.0	108226.0
COPE-0655.r1r2_fastp	2071954.0	0.0	0.0	135120.0
COPE-0656.r1r2_fastp	743918.0	0.0	0.0	13438.0
COPE-0657.r1r2_fastp	5706236.0	0.0	0.0	120220.0
COPE-0658.r1r2_fastp	1247032.0	0.0	0.0	273100.0
COPE-0659.r1r2_fastp	625796.0	0.0	0.0	13446.0
COPE-0660.r1r2_fastp	1776398.0	0.0	0.0	34550.0
COPE-0661.r1r2_fastp	14682558.0	0.0	0.0	237660.0
COPE-0662.r1r2_fastp	4244880.0	0.0	0.0	253720.0
COPE-0663.r1r2_fastp	14965540.0	0.0	0.0	271876.0
COPE-0664.r1r2_fastp	5395940.0	0.0	0.0	83348.0
COPE-0665.r1r2_fastp	2949092.0	0.0	0.0	48830.0
COPE-0666.r1r2_fastp	149896.0	0.0	0.0	4692.0
COPE-0667.r1r2_fastp	5869974.0	0.0	0.0	299160.0
COPE-0668.r1r2_fastp	914516.0	0.0	0.0	58568.0
COPE-0669.r1r2_fastp	563476.0	0.0	0.0	48696.0
COPE-0670.r1r2_fastp	287484.0	0.0	0.0	6554.0
COPE-0671.r1r2_fastp	2063856.0	0.0	0.0	32576.0
COPE-0672.r1r2_fastp	877412.0	0.0	0.0	43182.0
COPE-0673.r1r2_fastp	2843320.0	0.0	0.0	41530.0
COPE-0674.r1r2_fastp	7732546.0	0.0	0.0	172024.0
COPE-0675.r1r2_fastp	17543398.0	0.0	0.0	346470.0
COPE-0676.r1r2_fastp	3670786.0	0.0	0.0	148930.0
COPE-0677.r1r2_fastp	11410104.0	0.0	0.0	255488.0
COPE-0678.r1r2_fastp	1691374.0	0.0	0.0	31132.0
COPE-0679.r1r2_fastp	1396620.0	0.0	0.0	39638.0
COPE-0680.r1r2_fastp	3846790.0	0.0	0.0	146992.0
COPE-0681.r1r2_fastp	1436536.0	0.0	0.0	24292.0
COPE-0682.r1r2_fastp	8091124.0	0.0	0.0	172636.0
COPE-0683.r1r2_fastp	6773120.0	0.0	0.0	143602.0
COPE-0684.r1r2_fastp	2881224.0	0.0	0.0	55576.0
COPE-0685.r1r2_fastp	1948762.0	0.0	0.0	105984.0
COPE-0686.r1r2_fastp	1444372.0	0.0	0.0	23866.0
COPE-0687.r1r2_fastp	604540.0	0.0	0.0	13078.0
COPE-0688.r1r2_fastp	3945650.0	0.0	0.0	65836.0
COPE-0689.r1r2_fastp	10150.0	0.0	0.0	160.0
COPE-0690.r1r2_fastp	2868688.0	0.0	0.0	171606.0
COPE-0691.r1r2_fastp	18392.0	0.0	0.0	398.0
COPE-0692.r1r2_fastp	2249530.0	0.0	0.0	490520.0
COPE-0693.r1r2_fastp	2771078.0	0.0	0.0	46418.0
COPE-0694.r1r2_fastp	5034540.0	0.0	0.0	105966.0
COPE-0695.r1r2_fastp	6653422.0	0.0	0.0	239800.0
COPE-0696.r1r2_fastp	6384462.0	0.0	0.0	108606.0
COPE-0697.r1r2_fastp	2914030.0	0.0	0.0	62866.0
COPE-0698.r1r2_fastp	382426.0	0.0	0.0	15244.0
COPE-0699.r1r2_fastp	23759080.0	0.0	0.0	363792.0
COPE-0700.r1r2_fastp	5559338.0	0.0	0.0	118608.0
COPE-0701.r1r2_fastp	828112.0	0.0	0.0	11076.0
COPE-0702.r1r2_fastp	7480974.0	0.0	0.0	156834.0
COPE-0703.r1r2_fastp	2488188.0	0.0	0.0	52924.0
COPE-0704.r1r2_fastp	1041140.0	0.0	0.0	65120.0
COPE-0705.r1r2_fastp	16828156.0	0.0	0.0	353500.0
COPE-0706.r1r2_fastp	3281452.0	0.0	0.0	169394.0
COPE-0707.r1r2_fastp	381772.0	0.0	0.0	141824.0
COPE-0708.r1r2_fastp	9955092.0	0.0	0.0	392714.0
COPE-0709.r1r2_fastp	9282960.0	0.0	0.0	289538.0
COPE-0710.r1r2_fastp	45088.0	0.0	0.0	2280.0
COPE-0711.r1r2_fastp	4838198.0	0.0	0.0	317986.0
COPE-0712.r1r2_fastp	4832980.0	0.0	0.0	99890.0
COPE-0713.r1r2_fastp	4423530.0	0.0	0.0	158300.0
COPE-0714.r1r2_fastp	14798.0	0.0	0.0	206.0
COPE-0715.r1r2_fastp	506486.0	0.0	0.0	9578.0
COPE-0716.r1r2_fastp	6752412.0	0.0	0.0	144760.0
