Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0642.fp2.repr,NA,1,0,0,0,0,0
COPE_0643.fp2.repr,z0,1,0,0,0,0,0
COPE_0644.fp2.repr,NA,1,0,0,0,0,0
COPE_0645.fp2.repr,z1,0,1,0,0,0,0
COPE_0646.fp2.repr,z1,0,1,0,0,0,0
COPE_0647.fp2.repr,z1,0,1,0,0,0,0
COPE_0648.fp2.repr,NA,0,1,0,0,0,0
COPE_0649.fp2.repr,z0,1,0,0,0,0,0
COPE_0650.fp2.repr,NA,0,1,0,0,0,0
COPE_0651.fp2.repr,z1,0,1,0,0,0,0
COPE_0652.fp2.repr,z1,0,1,0,0,0,0
COPE_0653.fp2.repr,NA,0,1,0,0,0,0
COPE_0654.fp2.repr,z0,1,0,0,0,0,0
COPE_0655.fp2.repr,z0,1,0,0,0,0,0
COPE_0656.fp2.repr,NA,0,1,0,0,0,0
COPE_0657.fp2.repr,NA,0,1,0,0,0,0
COPE_0658.fp2.repr,z0,1,0,0,0,0,0
COPE_0659.fp2.repr,NA,0,1,0,0,0,0
COPE_0660.fp2.repr,NA,0,1,0,0,0,0
COPE_0661.fp2.repr,NA,0,1,0,0,0,0
COPE_0662.fp2.repr,z0,1,0,0,0,0,0
COPE_0663.fp2.repr,NA,0,1,0,0,0,0
COPE_0664.fp2.repr,NA,0,1,0,0,0,0
COPE_0665.fp2.repr,z1,0,1,0,0,0,0
COPE_0666.fp2.repr,NA,0,1,0,0,0,0
COPE_0667.fp2.repr,z0,1,0,0,0,0,0
COPE_0668.fp2.repr,z0,1,0,0,0,0,0
COPE_0669.fp2.repr,NA,1,0,0,0,0,0
COPE_0670.fp2.repr,NA,0,1,0,0,0,0
COPE_0671.fp2.repr,z1,0,1,0,0,0,0
COPE_0672.fp2.repr,z1,0,1,0,0,0,0
COPE_0673.fp2.repr,NA,0,1,0,0,0,0
COPE_0674.fp2.repr,NA,0,1,0,0,0,0
COPE_0675.fp2.repr,z1,0,1,0,0,0,0
COPE_0676.fp2.repr,NA,0,0,1,0,0,0
COPE_0677.fp2.repr,NA,0,1,0,0,0,0
COPE_0678.fp2.repr,z1,0,1,0,0,0,0
COPE_0679.fp2.repr,z1,0,1,0,0,0,0
COPE_0680.fp2.repr,z1,0,1,0,0,0,0
COPE_0681.fp2.repr,z1,0,1,0,0,0,0
COPE_0682.fp2.repr,z1,0,1,0,0,0,0
COPE_0683.fp2.repr,z1,0,1,0,0,0,0
COPE_0684.fp2.repr,z1,0,1,0,0,0,0
COPE_0685.fp2.repr,z1,0,1,0,0,0,0
COPE_0686.fp2.repr,z1,0,1,0,0,0,0
COPE_0687.fp2.repr,NA,0,0.99771,0,0,0,0.00229
COPE_0688.fp2.repr,z1,0,1,0,0,0,0
COPE_0690.fp2.repr,NA,1,0,0,0,0,0
COPE_0692.fp2.repr,z0,1,0,0,0,0,0
COPE_0693.fp2.repr,NA,0,1,0,0,0,0
COPE_0694.fp2.repr,z1,0,1,0,0,0,0
COPE_0695.fp2.repr,z1,0,1,0,0,0,0
COPE_0696.fp2.repr,z1,0,1,0,0,0,0
COPE_0697.fp2.repr,NA,0,1,0,0,0,0
COPE_0698.fp2.repr,z1,0,1,0,0,0,0
COPE_0699.fp2.repr,z1,0,1,0,0,0,0
COPE_0700.fp2.repr,z1,0,1,0,0,0,0
COPE_0701.fp2.repr,z1,0,1,0,0,0,0
COPE_0702.fp2.repr,z1,0,1,0,0,0,0
COPE_0703.fp2.repr,z1,0,1,0,0,0,0
COPE_0704.fp2.repr,z0,1,0,0,0,0,0
COPE_0705.fp2.repr,z1,0,1,0,0,0,0
COPE_0706.fp2.repr,z1,0,1,0,0,0,0
COPE_0707.fp2.repr,NA,0.99983,0,0,0,1.7e-4,0
COPE_0708.fp2.repr,z1,0,1,0,0,0,0
COPE_0709.fp2.repr,z1,0,1,0,0,0,0
COPE_0710.fp2.repr,z1,0,1,0,0,0,0
COPE_0711.fp2.repr,z0,1,0,0,0,0,0
COPE_0712.fp2.repr,z1,0,1,0,0,0,0
COPE_0713.fp2.repr,NA,0,1,0,0,0,0
COPE_0715.fp2.repr,z1,0,1,0,0,0,0
COPE_0716.fp2.repr,z1,0,1,0,0,0,0
COPE_0717.fp2.repr,NA,0,1,0,0,0,0
COPE_0718.fp2.repr,z0,1,0,0,0,0,0
COPE_0719.fp2.repr,z0,1,0,0,0,0,0
COPE_0720.fp2.repr,z0,1,0,0,0,0,0
COPE_0721.fp2.repr,z0,1,0,0,0,0,0
COPE_0722.fp2.repr,z1,0,1,0,0,0,0
COPE_0723.fp2.repr,z0,1,0,0,0,0,0
COPE_0724.fp2.repr,NA,1,0,0,0,0,0
COPE_0725.fp2.repr,NA,0,1,0,0,0,0
COPE_0726.fp2.repr,z1,0,1,0,0,0,0
COPE_0727.fp2.repr,NA,0,1,0,0,0,0
COPE_0728.fp2.repr,NA,0,1,0,0,0,0
COPE_0729.fp2.repr,z1,0,1,0,0,0,0
COPE_0730.fp2.repr,z1,0,1,0,0,0,0
COPE_0731.fp2.repr,z1,0,1,0,0,0,0
COPE_0732.fp2.repr,z1,0,1,0,0,0,0
COPE_0734.fp2.repr,z1,0,1,0,0,0,0
COPE_0735.fp2.repr,z1,0,1,0,0,0,0
COPE_0736.fp2.repr,NA,0,1,0,0,0,0
COPE_0737.fp2.repr,z1,0,1,0,0,0,0
COPE_0738.fp2.repr,z1,0,1,0,0,0,0
COPE_0739.fp2.repr,z1,0,1,0,0,0,0
COPE_0740.fp2.repr,NA,0,1,0,0,0,0
COPE_0741.fp2.repr,NA,0,1,0,0,0,0
COPE_0742.fp2.repr,NA,0,1,0,0,0,0
COPE_0743.fp2.repr,z1,0,1,0,0,0,0
COPE_0744.fp2.repr,z1,0,1,0,0,0,0
COPE_0745.fp2.repr,NA,0,0,0,0.99999,0,1e-5
COPE_0746.fp2.repr,z1,0,1,0,0,0,0
COPE_0747.fp2.repr,NA,0,1,0,0,0,0
COPE_0748.fp2.repr,z1,0,1,0,0,0,0
COPE_0749.fp2.repr,z1,0,1,0,0,0,0
COPE_0750.fp2.repr,z1,0,1,0,0,0,0
COPE_0751.fp2.repr,NA,0,1,0,0,0,0
COPE_0752.fp2.repr,z1,0,1,0,0,0,0
COPE_0753.fp2.repr,z1,0,1,0,0,0,0
COPE_0754.fp2.repr,z1,0,1,0,0,0,0
COPE_0755.fp2.repr,NA,0,1,0,0,0,0
COPE_0756.fp2.repr,z1,0,1,0,0,0,0
COPE_0757.fp2.repr,z1,0,1,0,0,0,0
COPE_0758.fp2.repr,z1,0,1,0,0,0,0
COPE_0759.fp2.repr,z1,0,1,0,0,0,0
COPE_0760.fp2.repr,z1,0,1,0,0,0,0
COPE_0761.fp2.repr,z1,0,1,0,0,0,0
COPE_0762.fp2.repr,z1,0,1,0,0,0,0
COPE_0763.fp2.repr,z0,1,0,0,0,0,0
COPE_0764.fp2.repr,z1,0,1,0,0,0,0
COPE_0765.fp2.repr,z1,0,1,0,0,0,0
COPE_0766.fp2.repr,z1,0,1,0,0,0,0
COPE_0767.fp2.repr,z1,0,1,0,0,0,0
COPE_0768.fp2.repr,z1,0,1,0,0,0,0
