prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0510.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0510.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0510.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0510.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0510.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0511.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0511.fp2.repr,NA,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0511.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0511.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0511.fp2.repr,NA,a_bx,1,1,1,1,1,1,0,0
Jeffreys,COPE_0511.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0512.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0512.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0512.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0512.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0512.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0512.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0514.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0514.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0514.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0514.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0514.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0514.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0515.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0515.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0515.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0515.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0515.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0515.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0517.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0517.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0517.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0517.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0517.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0517.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0518.fp2.repr,NA,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0518.fp2.repr,NA,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0518.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0518.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0518.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0518.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0519.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0519.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0519.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0519.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0519.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0519.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0520.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
