ID,species,certainty,bitscore,evalue,pident,length
COPE_0758,Coryphopterus hyalinus,certain,274.8181818181818,-73.05624249627495,99.63627272727273,150
COPE_0762,Coryphopterus hyalinus,certain,278,-75.19997064075586,100,150
COPE_0763,Coryphopterus personatus,uncertain,258.7083333333333,-68.57492393283076,99.97025,139.95833333333334
COPE_0765,Coryphopterus hyalinus,certain,278,-74.64975198166584,100,150
COPE_0768,Coryphopterus hyalinus,certain,272,-73.5718652059712,99.6665,148.5
COPE_0770,Coryphopterus hyalinus,certain,278,-75.40230481407448,100,150
COPE_0771,Coryphopterus hyalinus,certain,275.125,-74.22964219686251,99.666625,150
COPE_0778,Coryphopterus hyalinus,certain,248,-66.7495799976911,96.644,149
COPE_0785,Coryphopterus hyalinus,certain,267.6666666666667,-70.75810918013963,98.452,151.66666666666666
COPE_0790,Coryphopterus hyalinus,certain,278,-75.65169513695184,100,150
COPE_0791,Coryphopterus hyalinus,certain,278,-75.40230481407448,100,150
COPE_0793,Coryphopterus hyalinus,certain,275,-74.10864457637898,99.54169999999999,150.6
COPE_0794,Coryphopterus hyalinus,certain,272,-74.29073003902417,99.333,150
COPE_0796,Coryphopterus hyalinus,certain,217,-56.7851561519523,93.197,147
COPE_0797,Coryphopterus hyalinus,certain,277,-74.8166531384378,100,149.5
COPE_0806,Coryphopterus hyalinus,certain,278,-75.77728352885242,100,150
COPE_0812,Coryphopterus hyalinus,certain,278,-75.77211329538633,100,150
COPE_0813,Coryphopterus hyalinus,certain,275,-74.15341363094014,99.6665,150
COPE_0821,Coryphopterus hyalinus,certain,217,-57.428291168191315,93.197,147
COPE_0823,Coryphopterus hyalinus,certain,278,-75.20065945054642,100,150
COPE_0826,Coryphopterus hyalinus,certain,274,-73.56747020021179,99.4666,150.4
COPE_0831,Coryphopterus hyalinus,certain,271.5,-72.58590859362397,99.32900000000001,149.5
COPE_0836,Coryphopterus personatus,uncertain,278,-74.89619627904405,100,150
COPE_0839,Coryphopterus hyalinus,certain,185,-48.1765257708297,100,100
COPE_0842,Coryphopterus personatus,uncertain,275.25,-74.20048852266893,99.66675000000001,150
COPE_0848,Coryphopterus hyalinus,certain,272,-73.21609642072727,98.077,156
COPE_0851,Coryphopterus hyalinus,certain,274.4,-73.48008199154697,99.5998,150
COPE_0854,Coryphopterus hyalinus,certain,275,-74.71065174951221,99.6665,150
COPE_0856,Coryphopterus hyalinus,certain,217,-57.93930215964639,93.197,147
COPE_0859,Coryphopterus personatus,uncertain,277,-75.18656823618838,99.88883333333334,150
COPE_0864,Coryphopterus hyalinus,certain,221.4,-57.69118071806932,93.861,146.6
COPE_0868,Coryphopterus hyalinus,certain,278.3333333333333,-75.27902729935188,100,150.33333333333334
COPE_0870,Coryphopterus hyalinus,certain,275.57142857142856,-74.2687911781333,99.71428571428571,150
COPE_0873,Coryphopterus hyalinus,certain,278,-75.95860731484177,100,150
COPE_0885,Coryphopterus hyalinus,certain,278,-76.2839966563652,100,150
COPE_0891,Coryphopterus hyalinus,certain,276.5,-74.59422198772289,99.83324999999999,150
COPE_0892,Coryphopterus hyalinus,certain,275.8181818181818,-74.4553448362786,99.64172727272727,150.54545454545453
COPE_0894,Coryphopterus personatus,uncertain,276,-74.26841757639993,99.7334,150.2
COPE_0895,Coryphopterus hyalinus,certain,278,-75.03526907894637,100,150
COPE_0900,Coryphopterus hyalinus,certain,272,-74.10564719903802,98.709,153
COPE_0901,Coryphopterus hyalinus,certain,278.5,-75.45007166461977,99.67750000000001,152.5
COPE_0903,Coryphopterus hyalinus,certain,272,-73.7281583934635,99.333,150
COPE_0907,Coryphopterus hyalinus,certain,188.3125,-47.44327375100242,99.8774375,102
COPE_0909,Coryphopterus hyalinus,certain,273,-74.16170348774062,99.0325,152.5
COPE_0911,Coryphopterus hyalinus,certain,217,-56.25963731050576,93.197,147
COPE_0920,Coryphopterus hyalinus,certain,275,-74.3683287524072,99.6665,150
COPE_0921,Coryphopterus hyalinus,uncertain,231,-60.85078088734462,99.225,129
COPE_0923,Coryphopterus hyalinus,certain,250,-67.12551818230054,96.667,150
COPE_0924,Coryphopterus hyalinus,certain,278,-75.3429441471429,100,150
COPE_0926,Coryphopterus hyalinus,certain,275.75,-74.3582115235987,99.749875,150
COPE_0931,Coryphopterus hyalinus,certain,274.3333333333333,-73.2425075604461,99.492,150.77777777777777
COPE_0932,Coryphopterus hyalinus,certain,272.5,-73.62227982805076,99.3335,150
COPE_0934,Coryphopterus hyalinus,certain,273.75,-73.04623072088758,99.5,150
COPE_0936,Coryphopterus hyalinus,certain,278.5,-75.15338722470892,99.67750000000001,152.5
